method,micro,macro
best_fixed (cheats: global-best detector = LOF_k20),0.11803911503150147,0.16542831795509927
NoMaS beta=1 synthetic (OURS),0.14318790501216241,0.16301165049257244
NoMaS matched-router (OURS),0.13838111948462264,0.15311115197721326
EM (Excess-Mass),0.19571439127566592,0.19273207528517858
beta=-4 extreme synthetic,0.18526846077360207,0.19045496071137374
random,0.2711935826949192,0.266837249320643
