dataset,truefam,best_1feat_auc,best_det_auc,best_apnorm,gap
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,local,0.716139534883721,0.7858726067058933,0.466404452783983,0.06973307182217237
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,global,0.8949579831932772,0.8724924313159607,0.6851320546547249,-0.02246555187731658
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,local,0.7342245989304813,0.8093582887700533,0.3823836971688732,0.07513368983957203
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,local,0.7890374331550801,0.75222816399287,0.5093995085592248,-0.03680926916221017
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,local,0.5811764705882353,0.6461652521705199,0.164330292979591,0.0649887815822846
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,local,0.743161094224924,0.8442249240121581,0.5622231308553199,0.10106382978723405
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,local,0.6523476523476524,0.6800582929615188,0.1655804781209734,0.02771064061386641
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,global,0.6177248677248677,0.5479604027991125,0.1173833217797407,-0.06976446492575517
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,local,0.8274582560296846,0.7808441558441559,0.2894598243565144,-0.046614100185528695
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,local,0.7992857142857143,0.8863447350771295,0.6464118621021954,0.08705902079141525
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,local,0.7890625,0.8308401459212377,0.5243697886863794,0.04177764592123767
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,local,0.6213043478260869,0.6473554507886619,0.1929816464149472,0.026051102962574957
060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,local,0.6009565217391305,0.6959752051685001,0.2360130360450132,0.09501868342936959
062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,local,0.826,0.9024816843130096,0.1980687921341165,0.07648168431300961
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,local,0.6130222222222222,0.7492236204075562,0.2639941042347745,0.13620139818533394
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,local,0.8185,0.766837014725569,0.2464746936071849,-0.05166298527443103
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,local,0.6336799999999998,0.7165107362784472,0.2088870051273781,0.08283073627844739
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,local,0.9370769230769231,0.9527698486252701,0.607680070074375,0.015692925548347003
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,local,0.6214999999999999,0.6870058029689607,0.2083797636789777,0.0655058029689608
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,local,0.8145,0.8578809523809524,0.1771334180049953,0.04338095238095241
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,local,0.6813953488372092,0.7894938513744902,0.4702697614072504,0.10809850253728104
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,local,0.7380952380952381,0.9152295152295151,0.6288857325695404,0.17713427713427699
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,local,0.7886639676113361,0.8817813765182185,0.6690058861813877,0.09311740890688247
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,local,0.8712894248608534,0.805504019789734,0.3252564321424243,-0.06578540507111941
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,local,0.6642857142857144,0.9197518443997318,0.7948778367060924,0.2554661301140174
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,local,0.5869777777777778,0.784253755763796,0.3296756111952055,0.19727597798601815
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,global,0.8352534562211982,0.7331029185867894,0.1693047868112927,-0.10215053763440873
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,global,0.8991596638655461,0.8853521206462381,0.7514034728250514,-0.013807543219307994
