dataset,truefam,reg_random,reg_best_fixed,reg_iforest_random,reg_em,reg_mv,reg_consensus,reg_model_centrality,reg_hits,reg_beta1,reg_betaext,reg_matched
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,local,0.2624017577269866,0.007805596898444012,0.40272704881508864,0.4067280482608891,0.06653040670190391,0.4067280482608891,0.4067280482608891,0.4067280482608891,0.015442679670940374,0.06653040670190391,0.015442679670940374
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,global,0.23050104764128176,0.30374131194993176,0.012974859554171991,0.3332112573383456,0.27359207557152165,0.02161382507547116,0.02161382507547116,0.02161382507547116,0.5638151972337652,0.5638151972337652,0.5638151972337652
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,local,0.2502919635735468,0.14388445680061543,0.31408819094240575,0.0,0.0,0.3020481675598171,0.3020481675598171,0.3020481675598171,0.2977447245311257,0.0,0.2977447245311257
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,local,0.3249197253742604,0.07894779743338692,0.34748096534188566,0.06338299036319966,0.06338299036319966,0.3434700276700813,0.3434700276700813,0.3434700276700813,0.3139639106073845,0.3139639106073845,0.3139639106073845
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,local,0.14854933420851418,0.01940014161804257,0.16834391693327533,0.16927207466298588,0.16927207466298588,0.18976938290410425,0.18976938290410425,0.18976938290410425,0.03266657270795861,0.16927207466298588,0.03266657270795861
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,local,0.3306630279848591,0.13385370083775366,0.3518087512857142,0.0027030839589154976,0.0027030839589154976,0.353241681478105,0.353241681478105,0.353241681478105,0.0,0.0,0.0
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,local,0.11460042615664946,0.13243264624021003,0.11711975457665849,0.05705867442221722,0.05705867442221722,0.10952971266704911,0.10952971266704911,0.10952971266704911,0.05705867442221722,0.05705867442221722,0.05705867442221722
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,global,0.10646287338460733,0.13935996629318848,0.12148434903139155,0.142010194042256,0.142010194042256,0.11242708639847863,0.12686258305544965,0.11242708639847863,0.142010194042256,0.142010194042256,0.142010194042256
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,local,0.15005481375362498,0.051130140310613276,0.21827715195145642,0.22066350855866246,0.22066350855866246,0.22066350855866246,0.22066350855866246,0.22066350855866246,0.1669942849851091,0.0,0.1669942849851091
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,local,0.5146004702174005,0.28335722299955945,0.5672826754783871,0.5665487677975828,0.0,0.5665487677975828,0.5665487677975828,0.5665487677975828,0.0,0.4166566622491763,0.0
