corpus,dataset,m_sil_tr,m_gmm_tr,m_sil_val,marg,marg_rel,iso,inter,best_local,best_global,glob_adv
ucr,001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,0.4822353949927311,0.36170953290926267,0.4331783317891727,1.80138509483613,1.0884488841710411,2.2923861173329496,0.5348837209302325,0.466404452783983,0.1595254061640207,-0.30687904661996235
ucr,009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,0.27988981215670167,0.039959077616608885,0.2869599346336399,6.795625420231172,3.9278828995855144,3.49230308667836,0.2857142857142857,0.4115399790832033,0.6431805506995723,0.23164057161636897
ucr,013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,0.48906225372400985,0.32858581350065,0.4919343678167854,1.6214813166486608,0.9121961577153469,2.377403260275076,0.7,0.3823836971688732,0.1039658729921463,-0.2784178241767269
ucr,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,0.5001524692707113,0.3333964320263964,0.5003931886775079,2.1404366837975264,1.2002176750825329,1.8062960305096651,0.5,0.5093995085592248,0.0996360787763098,-0.40976342978291497
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,0.4018902531911184,0.20959092653754266,0.4150486423645973,1.378786168924754,0.753111226058222,1.0944222390454261,0.8823529411764706,0.164330292979591,-0.0216920613000391,-0.1860223542796301
ucr,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,0.31144936831571174,0.16730330049649456,0.3211591362546235,2.0890729375820474,1.0938583595095779,1.4967664682882171,0.42857142857142855,0.5622231308553199,0.1684242236063806,-0.39379890724893934
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,0.36466572071488124,0.18456715268080037,0.361309953078559,2.064539755795575,1.0331993095460628,0.995186893720996,0.36363636363636365,0.1655804781209734,0.0763107387471866,-0.08926973937378681
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,0.37254749406941723,0.16274023617821104,0.340648870805144,1.6691871545001022,0.9064686169314746,0.9272187147956447,0.8888888888888888,-0.010952737795487,0.1173833217797407,0.1283360595752277
ucr,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,0.41850094588253584,0.1760617952048465,0.4054701072991802,2.776463467589225,1.626178676536044,2.074877797863758,0.14285714285714285,0.2894598243565144,0.0642432118151966,-0.2252166125413178
ucr,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,0.49218931084200157,0.47453719959665924,0.4900028669770688,1.9057685903641672,1.1709545809570827,2.0397187371674383,0.6,0.6464118621021954,0.0594773019920043,-0.5869345601101911
ucr,058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,0.5985897079045098,0.38444932400295984,0.5740367120417778,2.5150456686506804,1.5364806164651605,2.305569683612959,0.25,0.5243697886863794,0.1347239778102379,-0.3896458108761415
ucr,059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,0.45210929909058367,0.3829056341775013,0.4772196128228237,1.9361588006723462,1.024027901531313,1.3697190447826608,0.5652173913043478,0.1929816464149472,0.0121802769530459,-0.18080136946190128
ucr,060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,0.4708366844839981,0.3713784990119213,0.4657666663294705,1.7755320323421266,0.940761734883843,1.1633779719128514,0.6521739130434783,0.2360130360450132,0.0003891901768452,-0.235623845868168
ucr,062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,0.39807597430064084,0.2653945701975164,0.4052937106229124,2.3181972119593257,1.2247040844631287,1.963344722623772,0.36363636363636365,0.1980687921341165,0.0225673394881096,-0.1755014526460069
