dataset,truefam,base_rate,f1_apnorm,det_apnorm,gap_ap,f1_auc,det_auc,gap_auc,f1_recall10
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,local,0.07928727125834995,0.3974854193497895,0.466404452783983,0.06891903343419353,0.7164561681502539,0.7858726067058933,0.06941643855563939,0.4418604651162791
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,global,0.06482603427384452,0.7020087652670498,0.6851320546547249,-0.016876710612324874,0.8939179632248939,0.8724924313159607,-0.02142553190893326,0.8571428571428571
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,local,0.0260416666666666,0.11482160533496276,0.38238369716887327,0.2675620918339105,0.7342245989304813,0.8093582887700533,0.07513368983957203,0.4
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,local,0.0260416666666666,0.42783543570064353,0.5093995085592248,0.08156407285858125,0.7890374331550801,0.75222816399287,-0.03680926916221017,0.5
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,local,0.10539186527607033,0.03755596757148107,0.16433029297959106,0.12677432540810998,0.5780228758169934,0.6461652521705199,0.06814237635352649,0.11764705882352941
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,local,0.1296296296296296,0.3185383444176608,0.5622231308553199,0.24368478643765912,0.743161094224924,0.8442249240121581,0.10106382978723405,0.5
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,local,0.1071518350930115,0.13849427802010783,0.1655804781209734,0.02708620010086557,0.6523476523476524,0.6800582929615188,0.02771064061386641,0.36363636363636365
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,global,0.0939278937381404,0.17731789302806092,0.11738332177974072,-0.059934571248320204,0.6177248677248677,0.5479604027991125,-0.06976446492575517,0.2222222222222222
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,local,0.0434782608695652,0.5717587498535183,0.28945982435651446,-0.2822989254970038,0.8274582560296846,0.7808441558441559,-0.046614100185528695,0.7142857142857143
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,local,0.06637426900584789,0.3908844566314502,0.6464118621021954,0.25552740547074515,0.7992857142857143,0.8863447350771295,0.08705902079141525,0.4
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,local,0.016461465206448502,0.15797104473703585,0.5243697886863794,0.3663987439493436,0.7887029288702928,0.8308401459212377,0.042137217050944864,0.625
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,local,0.044033328073066265,0.03206083937256975,0.19298164641494722,0.1609208070423775,0.6214167465365513,0.6473554507886619,0.025938704252110534,0.21739130434782608
060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,local,0.044033328073066265,0.021684982436573342,0.23601303604501322,0.21432805360843987,0.6005053585431733,0.6959752051685001,0.09546984662532676,0.21739130434782608
062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,local,0.021554613179340633,0.3252832525555593,0.19806879213411657,-0.12721446042144272,0.8260156676990345,0.9024816843130096,0.07646601661397512,0.6363636363636364
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,local,0.08267018095189817,0.27640734835275105,0.26399410423477454,-0.012413244117976507,0.6124248496993988,0.7492236204075562,0.13679877070815738,0.3111111111111111
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,local,0.0310479695150765,0.19216413313220979,0.2464746936071849,0.05431056047497512,0.8181362725450901,0.766837014725569,-0.05129925781952116,0.4375
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,local,0.04767974748854287,0.1235747991989412,0.20888700512737815,0.08531220592843695,0.6339879759519038,0.7165107362784472,0.08252276032654338,0.36
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,local,0.0253741914400409,0.6029397795173949,0.607680070074375,0.004740290556980109,0.9369508247263759,0.9527698486252701,0.015819023898894224,0.8461538461538461
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,local,0.03861119425321753,0.1781719231566207,0.20837976367897773,0.030207840522357032,0.6200803212851406,0.6870058029689607,0.06692548168382018,0.35
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,local,0.015853440006746065,0.07766094516451294,0.17713341800499538,0.09947247284048244,0.8143863179074446,0.8578809523809524,0.043494634473507765,0.5
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,local,0.07928727125834995,0.3978208263333735,0.4702697614072504,0.0724489350738769,0.6808034673999162,0.7894938513744902,0.10869038397457409,0.4418604651162791
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,local,0.044777754948291136,0.16827980438566004,0.6288857325695404,0.46060592818388035,0.7363374880153404,0.9152295152295151,0.17889202721417474,0.42857142857142855
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,local,0.1203703703703703,0.4874014428013259,0.6690058861813877,0.18160444338006176,0.7886639676113361,0.8817813765182185,0.09311740890688247,0.5384615384615384
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,local,0.0434782608695652,0.5727039942937946,0.3252564321424243,-0.24744756215137031,0.8712894248608534,0.805504019789734,-0.06578540507111941,0.7142857142857143
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,local,0.06637426900584789,0.4504938911813264,0.7948778367060924,0.344383945524766,0.6642857142857144,0.9197518443997318,0.2554661301140174,0.6
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,local,0.08267018095189817,0.06384927556256036,0.3296756111952055,0.2658263356326451,0.5868180806056558,0.784253755763796,0.1974356751581402,0.24444444444444444
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,global,0.0534351145038167,0.46993501632992746,0.1693047868112927,-0.3006302295186347,0.8352534562211982,0.7331029185867894,-0.10215053763440873,0.7142857142857143
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,global,0.06482603427384452,0.6716370133246745,0.7514034728250514,0.07976645950037686,0.9024045261669024,0.8853521206462381,-0.017052405520664227,0.8571428571428571
121_UCR_Anomaly_ECG3_15000_16000_16100.txt,local,0.0260416666666666,0.4200053927928642,0.4000459854777833,-0.01995940731508089,0.7858288770053476,0.9196969696969696,0.13386809269162192,0.5
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,local,0.0260416666666666,0.4439677238012087,0.4469048186775626,0.0029370948763539073,0.7846256684491979,0.8799465240641711,0.09532085561497317,0.6
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,local,0.0434782608695652,0.5733905610383777,0.3159534338029631,-0.2574371272354146,0.8399814471243042,0.7867965367965368,-0.0531849103277674,0.7142857142857143
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,local,0.0340136054421768,0.22059183272989855,0.3938100397255327,0.17321820699563414,0.7267605633802817,0.9422535211267608,0.21549295774647903,0.4
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,local,0.06637426900584789,0.4852900649392047,0.8670629076277777,0.38177284268857303,0.7157142857142857,0.9677531857813547,0.25203890006706897,0.5
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,local,0.016461465206448502,0.23327490496419953,0.4411418206715658,0.2078669157073663,0.8684623430962343,0.8654656733473981,-0.002996669748836167,0.75
167_UCR_Anomaly_gait1_20000_38500_38800.txt,local,0.044033328073066265,0.15042025045656124,0.3692434666344599,0.21882321617789866,0.618192907554239,0.7603325766835458,0.14213966912930687,0.2608695652173913
168_UCR_Anomaly_gait2_22000_46500_46800.txt,local,0.044033328073066265,0.07125895688294596,0.35892093836566447,0.2876619814827185,0.5808138015160756,0.7673695361154764,0.18655573459940078,0.21739130434782608
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,local,0.021554613179340633,0.45776364921349777,0.4887220788501559,0.030958429636658125,0.7842958644561852,0.9751790191067299,0.19088315465054473,0.6363636363636364
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,local,0.08267018095189817,0.2745822391162654,0.5610041778884148,0.28642193877214944,0.6738810955243821,0.9110592890078834,0.23717819348350122,0.4222222222222222
181_UCR_Anomaly_park3m_60000_72150_72495.txt,local,0.04767974748854287,0.24045330366804124,0.4281159746082448,0.18766267094020356,0.6096993987975952,0.8546054082998662,0.24490600950227104,0.24
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,local,0.015853440006746065,0.588124593418431,0.22829148358030749,-0.35983310983812355,0.8282193158953722,0.8047891156462584,-0.023430200249113797,0.625
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,local,0.0139263323922753,0.35609077435429176,0.2323313396168398,-0.12375943473745196,0.8004032258064516,0.8437098213433698,0.04330659553691818,0.5714285714285714
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,local,0.13957532572926787,0.25529196646075003,0.2500615399045571,-0.005230426556192935,0.6866077834681709,0.7022036789131837,0.01559589544501283,0.4074074074074074
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,global,0.06550238759037477,0.7729784070421538,0.7853343615960388,0.01235595455388494,0.9398797595190381,0.9377567412507171,-0.002123018268321064,0.8857142857142857
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,local,0.06941887428852503,0.17153853847464978,0.2421350378744648,0.07059649939981502,0.6364728364728366,0.6638980711269868,0.027425234654150255,0.24324324324324326
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,local,0.059311417234554874,0.04646769376051359,0.22541210667078074,0.17894441291026714,0.5794625845870837,0.709536893421374,0.1300743088342904,0.1935483870967742
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,local,0.07514467951787283,0.03197831978316325,0.382713870063261,0.3507355502800978,0.5967479674796747,0.7545314887409343,0.1577835212612596,0.175
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,global,0.04035887706685303,0.5278001312681885,0.19484699455270948,-0.332953136715479,0.8922607118999903,0.8015346465225983,-0.09072606537739203,0.9047619047619048
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,local,0.0458715596330275,0.7461180124215782,0.5443000725150229,-0.20181793990655528,0.9596153846153845,0.9019230769230769,-0.0576923076923076,0.8
302_Power_id_1_Facility_tr_7685_1st_7785.csv,global,0.24981273408239701,0.24328402887474174,0.1878118029858441,-0.055472225888897636,0.6437105147932695,0.6161872207026223,-0.027523294090647132,0.2671232876712329
314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,local,0.044033328073066265,0.033260112771652965,0.18545830465145216,0.1521981918797992,0.6234207545525834,0.6350362609859729,0.011615506433389489,0.21739130434782608
345_UCR_id_43_Facility_tr_25000_1st_44630.csv,global,0.04035887706685303,0.13837438344036507,0.10962030638332572,-0.02875407705703935,0.8990361675732417,0.6823233250462165,-0.21671284252702516,0.7619047619047619
368_UCR_id_66_Facility_tr_50000_1st_125720.csv,local,0.08267018095189817,0.16854937869489886,0.38632805376754115,0.21777867507264229,0.8012024048096191,0.8057997322623828,0.004597327452763644,0.4666666666666667
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,local,0.08267018095189817,0.05638274366968086,0.32460285017221874,0.26822010650253786,0.5880650189267425,0.7721801576677079,0.1841151387409654,0.2222222222222222
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,local,0.042199626682385305,0.05872873040311966,0.20949510281046527,0.1507663724073456,0.5853525232282748,0.7359650724108556,0.15061254918258082,0.2727272727272727
433_UCR_id_131_Facility_tr_50000_1st_106720.csv,local,0.08267018095189817,0.07578053804839506,0.25223672936794994,0.17645619131955487,0.6105321754620352,0.6916637513015024,0.08113157583946717,0.2222222222222222
461_UCR_id_159_Medical_tr_45096_1st_131200.csv,global,0.06550238759037477,0.7828879270306178,0.7860301727708293,0.003142245740211491,0.9373604351560263,0.9377184165232357,0.00035798136720943674,0.8571428571428571
529_UCR_id_227_Facility_tr_19948_1st_52000.csv,local,0.07928727125834995,0.40025910985097124,0.46800914688035683,0.06775003702938559,0.6820151931770518,0.8029875470875751,0.1209723539105233,0.4418604651162791
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,local,0.25,0.9999999999986607,0.994541910331384,-0.005458089667276789,1.0,0.9983841181902124,-0.001615881809787556,1.0
AbstractAnomalyBatch,local,0.108675799086758,0.24053082745131993,0.8868916070786822,0.6463607796273623,0.7699075654152445,0.9817496670799467,0.2118421016647022,0.3583617747440273
ArchaeologicalAnomalies,local,0.2478260869565217,0.0075744636143104845,0.2596825895705568,0.2521081259562463,0.49744342391818963,0.7511408579251597,0.2536974340069701,0.11016949152542373
ArtCollections,local,0.0196850393700787,0.08157867468384356,0.28242552576943675,0.2008468510855932,0.7685156249999999,0.809630187416332,0.041114562416332046,0.625
AustinCrime,local,0.1469237832874196,0.28197712240364664,0.21187911134198514,-0.0700980110616615,0.7191371058558559,0.7645945461069251,0.04545744025106924,0.5049019607843137
BCellImmunity,global,0.2283142389525368,0.06002150476910766,0.2852019412133893,0.22518043644428165,0.5690167381368826,0.7393204787587848,0.17030374062190223,0.17024320457796852
BarExamPrediction,global,0.1974683544303797,0.34257314074989736,0.42416455256063573,0.08159141181073837,0.7582064297800339,0.8159502218387602,0.05774379205872626,0.3942470389170897
BaseballBattedBall,global,0.2170900692840646,0.37062763480083727,0.36599396317549177,-0.0046336716253455035,0.7909467546417063,0.8437310403983348,0.052784285756628524,0.5263157894736842
BaseballPitchingAnomalies,global,0.0711743772241993,0.9981221598492329,0.32048538847564045,-0.6776367713735925,0.9998563218390805,0.7994252873563218,-0.20043103448275867,1.0
