dataset,truefam,axis_drop,hist_gain,norm_corr,kfrac,d
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,local,-0.04902325581395339,-0.04686046511627906,0.36272225113019974,0.03571428571428571,28
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,global,0.037815126050420145,0.03221288515406162,0.3612427968034142,0.03571428571428571,28
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,local,-0.18663101604278076,0.09518716577540098,0.43120759015980614,0.03571428571428571,28
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,local,-0.1141711229946526,0.033689839572192626,0.4346640595454074,0.03571428571428571,28
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,local,-0.08980392156862738,0.16137254901960774,0.46838088176986453,0.03571428571428571,28
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,local,-0.03343465045592697,-0.014057750759878473,0.3373121137700345,0.03571428571428571,28
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,local,-0.016983016983016963,-0.021478521478521584,0.36580257573830244,0.03571428571428571,28
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,global,-0.011904761904761973,0.06944444444444453,0.3130029877149712,0.03571428571428571,28
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,local,-0.0078849721706864,-0.006261595547309762,0.3716816216658782,0.03571428571428571,28
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,local,-0.02214285714285713,0.016785714285714293,0.46473391788623347,0.03571428571428571,28
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,local,-0.03151041666666665,0.050000000000000044,0.4053141037993797,0.03571428571428571,28
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,local,-0.020260869565217332,-0.008608695652173926,0.3672851490927409,0.03571428571428571,28
060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,local,0.029043478260869615,0.1046086956521739,0.37614806005958423,0.03571428571428571,28
062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,local,0.0489090909090909,0.06054545454545457,0.3520115052085044,0.03571428571428571,28
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,local,-0.002666666666666706,-0.0007555555555555094,0.3445010363480843,0.03571428571428571,28
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,local,0.05325000000000002,-0.0420625,0.4566170845724459,0.03571428571428571,28
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,local,0.044319999999999804,0.08552000000000026,0.33162560154921417,0.03571428571428571,28
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,local,0.08169230769230773,-0.02115384615384619,0.3849788936361315,0.03571428571428571,28
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,local,-0.0046000000000001595,0.1403000000000001,0.3309659665968639,0.03571428571428571,28
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,local,0.040999999999999925,0.011249999999999982,0.39917410897394623,0.03571428571428571,28
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,local,-0.05060465116279078,-0.014860465116279031,0.38503619494321023,0.03571428571428571,28
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,local,0.06571428571428584,0.018571428571428572,0.5362300581808627,0.03571428571428571,28
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,local,-0.010526315789473717,-0.04129554655870449,0.3709770270175016,0.03571428571428571,28
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,local,0.025278293135435947,-0.016117810760667872,0.48671641537510846,0.03571428571428571,28
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,local,-0.15071428571428558,0.15857142857142847,0.4909120548962916,0.03571428571428571,28
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,local,-0.001955555555555488,0.04562222222222223,0.37790434586915617,0.03571428571428571,28
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,global,0.10138248847926279,-0.011520737327188946,0.29837309161699116,0.03571428571428571,28
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,global,0.03221288515406162,-0.014705882352941124,0.3615348687555553,0.03571428571428571,28
121_UCR_Anomaly_ECG3_15000_16000_16100.txt,local,-0.004812834224598883,0.14572192513368976,0.44584537992796935,0.03571428571428571,28
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,local,-0.0816844919786095,0.014037433155080214,0.44596953533781014,0.03571428571428571,28
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,local,0.0037105751391465214,-0.0008116883116882079,0.4004623062288809,0.03571428571428571,28
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,local,1.1102230246251565e-16,0.14859154929577456,0.5178997056760885,0.03571428571428571,28
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,local,-0.09142857142857141,0.13821428571428562,0.5150536433607724,0.03571428571428571,28
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,local,0.07864583333333341,0.016145833333333304,0.41052900282486937,0.03571428571428571,28
167_UCR_Anomaly_gait1_20000_38500_38800.txt,local,-0.030086956521739094,0.03656521739130436,0.3837553106720679,0.03571428571428571,28
168_UCR_Anomaly_gait2_22000_46500_46800.txt,local,-0.011304347826086913,0.10156521739130442,0.3848071856854155,0.03571428571428571,28
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,local,0.010909090909090868,0.12118181818181817,0.3195701869463735,0.03571428571428571,28
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,local,-0.042577777777777825,0.021444444444444488,0.3177443660830977,0.03571428571428571,28
181_UCR_Anomaly_park3m_60000_72150_72495.txt,local,-0.02391999999999994,0.17591999999999997,0.3340053141702682,0.03571428571428571,28
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,local,-0.0007500000000000284,0.03937499999999994,0.41323368702877894,0.03571428571428571,28
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,local,-0.028686173264486525,0.041881812966150345,0.30037526538324616,0.03571428571428571,28
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,local,-0.05508641975308659,-0.013246913580246877,0.39413555995148414,0.03571428571428571,28
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,global,0.028457142857142848,-0.12822857142857158,0.3962725484837794,0.03571428571428571,28
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,local,0.005514605514605697,-0.022304122304122376,0.3272424098860951,0.03571428571428571,28
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,local,0.009526312331647024,0.00686551474935948,0.329125499187185,0.03571428571428571,28
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,local,0.03722222222222227,-0.020328282828282807,0.33461305297969685,0.03571428571428571,28
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,global,0.021238095238095278,0.018095238095238164,0.3856344009240115,0.03571428571428571,28
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,local,0.06538461538461526,-0.03749999999999987,0.4821435759978156,0.03571428571428571,28
302_Power_id_1_Facility_tr_7685_1st_7785.csv,global,0.05363058465395287,-0.0014828990957113097,0.571009618215561,0.03571428571428571,28
314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,local,-0.017565217391304233,0.006173913043478252,0.3694796825837187,0.03571428571428571,28
345_UCR_id_43_Facility_tr_25000_1st_44630.csv,global,0.30533333333333335,0.025523809523809393,0.37236330227917364,0.03571428571428571,28
368_UCR_id_66_Facility_tr_50000_1st_125720.csv,local,0.04417777777777787,-0.022911111111111215,0.3779319586306548,0.03571428571428571,28
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,local,0.0010222222222223687,0.05788888888888877,0.3779745177190677,0.03571428571428571,28
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,local,-0.03254545454545443,0.14040909090909093,0.3711757451584938,0.03571428571428571,28
433_UCR_id_131_Facility_tr_50000_1st_106720.csv,local,-0.020533333333333403,-0.027622222222222215,0.39831974714192625,0.03571428571428571,28
461_UCR_id_159_Medical_tr_45096_1st_131200.csv,global,0.0382285714285715,-0.10925714285714294,0.39422490365957064,0.03571428571428571,28
529_UCR_id_227_Facility_tr_19948_1st_52000.csv,local,-0.05906976744186054,-0.0040000000000000036,0.38506185243629387,0.03571428571428571,28
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,local,0.013862781954887105,-0.012453007518796855,0.2554841722839388,0.03571428571428571,28
AbstractAnomalyBatch,local,0.0730137500000001,-0.04932250000000005,0.11256512201585755,0.015384615384615385,65
ArchaeologicalAnomalies,local,0.024791297748545438,0.03748208111982454,0.09447073581784503,0.3333333333333333,3
ArtCollections,local,0.02074038461538452,-0.19972596153846145,0.4475070100300254,0.3333333333333333,3
AustinCrime,local,0.014465797083095921,-0.01708562865404506,0.23165686264011884,0.25,4
BCellImmunity,global,0.02016125000000002,0.08286875000000005,0.19644315986148192,0.1,10
BarExamPrediction,global,0.01166250000000002,0.006637500000000074,0.2245740517014844,0.1,10
BaseballBattedBall,global,0.059059152305542595,-0.0020183201366247294,0.19106937934434573,0.125,8
BaseballPitchingAnomalies,global,0.014452332657200806,-0.0003521523551949235,0.0735601233214859,0.02631578947368421,38
BatchProcessingEvents,local,-0.006278750000000111,-0.04795125,0.16104011605015456,0.16666666666666666,6
BrainEEGSignals,local,0.010627272727272707,-0.0008363636363636351,0.5728142420553538,0.07142857142857142,14
BuildingEnergyCompliance,global,0.049497058265325355,0.029569178212184632,0.25438817658460977,0.04,25
BuildingInspections,global,0.18991875000000003,-0.22726750000000007,0.12195469163166625,0.2,5
BusTracking,local,0.05516345747902862,-0.05599405275427227,0.1349075320183291,0.125,8
BusinessAnomalies,local,-0.17040875,0.057017500000000165,0.010980856548315533,0.6,5
BusinessProcessFraud,global,0.08723733583489679,0.0063133208255159445,0.05779904172705096,0.14285714285714285,7
CardiacHealth,local,-0.0025637499999998647,0.06066625000000003,0.17786161977881215,0.2,5
CelestialObjects2,global,0.116375,-0.03128999999999993,0.19470924382871269,0.07142857142857142,14
CityTreeCondition,local,-0.11878076261637893,0.1588092273023779,0.23829260343734518,0.1,10
CodeSmell,global,-0.06657233166715681,0.0737760952660983,0.16413129434353937,0.16666666666666666,6
CodeStrata,local,-0.02376899696048629,0.04124620060790274,0.24559967557297446,0.25,4
Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),local,-0.03947740112994358,0.003866525423728784,0.4204927355512739,0.03333333333333333,30
CropWeedDetection,local,0.00948909507169532,0.03563682371370047,0.3077748353506686,0.25,4
