corpus,dataset,best,local_ev,reg_beta1,reg_betaext,reg_em,truefam
oddbench,TrialBehavior,0.1052307877951801,-0.30503278688524604,0.08763456006819056,0.08763456006819056,0.0,global
oddbench,HomicideCircumstance,0.17514831049561005,-0.0015184049079756123,0.08853941046058832,0.08853941046058832,0.08853941046058832,local
oddbench,FishingAnomalies,0.17944841226811137,-0.008730158730158921,0.13677150696347212,0.002867305642542145,0.002867305642542145,local
oddbench,HospitalReadmissions,0.25377848522605156,-0.1079783484390735,0.22553892864785963,0.19048822446665264,0.22553892864785963,local
oddbench,AustinCrime,0.21187911134198514,-0.07879310344827595,0.2057392097986389,0.11892076757604104,0.04729209362044223,local
oddbench,SalesPerformance,0.3528135264924955,-0.15298295454545452,0.020041558482786714,0.13658234982101755,0.020041558482786714,global
oddbench,BarExamPrediction,0.42416455256063573,-0.1311251314405888,0.1502475370751149,0.1584427268022074,0.1502475370751149,global
oddbench,EnvironmentalConcernSurvey,0.25112388715539735,-0.17598988439306362,0.04883973059594038,0.028018511558195597,0.04883973059594038,global
oddbench,CodeStrata,0.2854834264904052,-0.24298571428571425,0.0,0.16677536573823404,0.16677536573823404,local
oddbench,HumanRobotCollaboration,0.2354882846888551,0.00010403916768675359,0.17762322925912943,0.17762322925912943,0.22443542304716557,global
oddbench,DragonFlySystem,0.41823854979039926,-0.027522697795071438,0.3129515921341737,0.3129515921341737,0.3129515921341737,global
oddbench,BuildingInspections,0.4074213692633371,-0.15135930493273542,0.1575590200450385,0.1917783571609876,0.035231555063381825,global
oddbench,PoliceArrestFraud,0.34779583257936864,-0.05668367346938774,0.07784978601300258,0.07784978601300258,0.07784978601300258,global
oddbench,ZookeeperLogs,0.30690146078557146,-0.11250512820512826,0.0,0.0,0.2830344950589662,local
oddbench,EmailSpamDetection,0.5135206533582451,-0.006908713692945989,0.4006626977316641,0.4006626977316641,0.0,global
oddbench,TreadmillStatus,0.5395186960227925,-0.07548677248677249,0.26953997644012234,0.3834000507203651,0.26953997644012234,local
oddbench,WaterChemistry,0.6942669816216918,-0.005719999999999947,0.06647072205724547,0.5389454697539806,0.5389454697539806,local
oddbench,RacingMotion,0.9890358912532656,-0.18310567010309275,0.9286897178671103,0.7831564520240794,0.9286897178671103,local
oddbench,DiamondClarity,0.7591846794576541,-0.1347459459459459,0.0,0.6935699049839164,0.6935699049839164,local
oddbench,UserEventAnomalies,0.8306423531709236,-0.1873685540950455,0.7695278812761362,0.0,0.805914494294446,global
ovrbench,BusinessAnomalies,0.3709366416348323,-0.24183470105509963,0.09679791410246397,0.0,0.0,local
ovrbench,FakeNewsPropagation,0.3128353381303876,-0.21725443786982246,0.02541371204606302,0.02541371204606302,0.01801351917265448,global
ovrbench,FinancialTransaction4,0.18925720242311203,-0.054154182272159845,0.06159198549687267,0.05320445624242082,0.05320445624242082,local
ovrbench,CelestialObjects2,0.34289715385250036,-0.2311457109283196,0.04785859100499301,0.0284212672283507,0.10014657382010586,global
ovrbench,BatchProcessingEvents,0.3268935484003643,-0.19838957055214712,0.2808926056050378,0.2786008886959908,0.2613383640123395,local
ovrbench,PatientSurvival1,0.42883093313694204,-0.3343364928909951,0.20888958873751498,0.015905896200164138,0.015905896200164138,global
ovrbench,CustomerChurn2,0.2658883216651278,-0.06596481876332616,0.20396717668658118,0.10003782558034055,0.10003782558034055,local
ovrbench,ozone-level-8hr,0.1576903594414087,-0.04629473684210528,0.03122661281707806,0.22085964243503453,0.22085964243503453,local
ovrbench,SpotifyHitPredictor,0.4339622730456987,-0.23894531250000006,0.06001841990857887,0.06001841990857887,0.06001841990857887,global
ovrbench,Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-10.5GHz(Urbinati),0.18775657409190236,-0.0015208333333333046,0.1444951407108077,0.1444951407108077,0.24848989340065356,local
ovrbench,BCellImmunity,0.2852019412133893,-0.09650159744408948,0.2198695831393387,0.2639372690087779,0.2198695831393387,global
ovrbench,UrlAnalysis,0.49598989630895224,-0.14453616352201248,0.6085110790534596,0.06635868979580845,0.06544441292673309,global
ovrbench,ElectronicCommerceAnomalies,0.27447043818351535,-0.055387426900584846,0.0,0.2681808663902381,0.3294730914123331,local
ovrbench,NeuroSignalEEG,0.3649035465692956,-0.1260551558752997,0.0,0.11947516285145274,0.0,global
ovrbench,GamingBehavior,0.7209634055861299,-0.18886609071274296,0.35528330670792146,0.409611196908275,0.409611196908275,local
ovrbench,BrainEEGSignals,0.5415929285713339,-0.08497727272727273,0.0,0.0,0.20947358659429166,local
ovrbench,Run_or_walk_information,0.547177955116544,-0.17657596982758628,0.0,0.41288546757757283,0.6181394318540356,local
ovrbench,SpeechAnalysis,0.5259160800547172,-0.25472660357518395,0.4342700742173005,0.4342700742173005,0.4719928920770712,global
ovrbench,TrafficSensor,0.7170575708672576,-0.035417149478563115,0.0,0.5411290590085924,0.10777454481733528,local
ovrbench,CardiacHealth,0.9670237659219385,-0.030667046750284865,0.0,0.0013383426064779158,0.0013383426064779158,local
tsbad_u,345_UCR_id_43_Facility_tr_25000_1st_44630.csv,0.10962030638332572,-0.0070689655172414545,0.09914473304778781,0.10195523668431819,0.11479338855949241,global
tsbad_u,314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,0.18545830465145216,-0.019016227180527423,0.0,0.0,0.0,local
tsbad_u,302_Power_id_1_Facility_tr_7685_1st_7785.csv,0.1878118029858441,-0.02098930481283412,0.19983694953232117,0.19983694953232117,0.07671284022795131,global
tsbad_u,430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,0.20949510281046527,-0.01139784946236555,0.07094810974570695,0.009094265277142854,0.009094265277142854,local
tsbad_u,433_UCR_id_131_Facility_tr_50000_1st_106720.csv,0.25223672936794994,0.0010141987829614951,0.011107895987094163,0.09996131865378452,0.09996131865378452,local
tsbad_u,867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,0.994541910331384,-0.01764423076923083,0.03026379079010688,0.0024187452758880346,0.0,local
tsbad_u,229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,0.22541210667078074,-0.014533195020746903,0.0,0.16249727304305506,0.16249727304305506,local
tsbad_u,228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,0.2421350378744648,0.000881104033970237,0.0,0.18001536972674329,0.18001536972674329,local
tsbad_u,381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,0.32460285017221874,-0.007342799188641003,0.0609851140861708,0.0,0.0,local
tsbad_u,529_UCR_id_227_Facility_tr_19948_1st_52000.csv,0.46800914688035683,-0.0523225152129817,0.0,0.06378157607149815,0.4050124043276962,local
tsbad_u,368_UCR_id_66_Facility_tr_50000_1st_125720.csv,0.38632805376754115,-0.01573022312373229,0.0,0.23003455419717347,0.23003455419717347,local
tsbad_u,230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,0.382713870063261,-6.396588486157206e-05,0.0,0.3196109500329038,0.3196109500329038,local
tsbad_u,461_UCR_id_159_Medical_tr_45096_1st_131200.csv,0.7860301727708293,-0.026871196754563953,0.5054412332978133,0.671404494650494,0.671404494650494,global
ucr,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,0.11738332177974072,-0.009137931034482794,0.142010194042256,0.142010194042256,0.142010194042256,global
ucr,035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,0.1655804781209734,-0.002356321839080411,0.05705867442221722,0.05705867442221722,0.05705867442221722,local
ucr,062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,0.19806879213411657,-0.0012778904665315949,0.03261889970697074,0.018356026470550513,0.018356026470550513,local
ucr,059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,0.19298164641494722,-0.018519269776876346,0.0,0.0,0.0,local
ucr,020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,0.16433029297959106,-0.04517482517482507,0.03266657270795861,0.16927207466298588,0.16927207466298588,local
ucr,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,0.3252564321424243,-0.047242524916943585,0.24158036568862884,0.21457968539009575,0.21285688851876466,local
ucr,072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,0.2464746936071849,0.0008386411889598211,0.128770274835027,0.128770274835027,0.08763673467444136,local
ucr,073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,0.20888700512737815,-0.004361054766734318,0.026453047640444455,0.026453047640444455,0.026453047640444455,local
ucr,197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,0.22829148358030749,0.00011156186612581998,0.03667512296583997,0.03667512296583997,0.03270859410208038,local
ucr,106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,0.3296756111952055,-0.007565922920892421,0.0,0.06000395153730553,0.0022703518348097806,local
