dataset,truefam,det_apnorm,marg_or_apnorm,marg_hbos_apnorm,marg_best,mv_gain
001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,local,0.466404452783983,0.12845411946281235,0.01846307469656653,0.12845411946281235,0.33795033332117064
009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,global,0.6851320546547249,0.6138984769129215,0.46417916760150413,0.6138984769129215,0.07123357774180339
013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,local,0.38238369716887327,0.015269303757287507,0.15671752466959513,0.15671752466959513,0.22566617249927814
014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,local,0.5093995085592248,0.03754337933219434,0.09796038488068383,0.09796038488068383,0.41143912367854096
020_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z2_5000_7175_7388.txt,local,0.16433029297959106,-0.03181054572794996,-0.022305080247490863,-0.022305080247490863,0.18663537322708193
026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,local,0.5622231308553199,0.12170272570421377,0.0773568395772967,0.12170272570421377,0.4405204051511062
035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974.txt,local,0.1655804781209734,0.051953947386280584,0.034747959219969954,0.051953947386280584,0.11362653073469281
036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,global,0.11738332177974072,0.03602174573534528,0.044149209074421034,0.044149209074421034,0.07323411270531968
043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,local,0.28945982435651446,0.09624524864145963,0.07903364816505026,0.09624524864145963,0.19321457571505485
052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,local,0.6464118621021954,0.07071187369946073,0.05094194781923042,0.07071187369946073,0.5756999884027346
058_UCR_Anomaly_DISTORTEDapneaecg_10000_12240_12308.txt,local,0.5243697886863794,0.013744708950625985,0.014658546609947363,0.014658546609947363,0.509711242076432
059_UCR_Anomaly_DISTORTEDgait1_20000_38500_38800.txt,local,0.19298164641494722,0.0001996423440904656,0.01201927926071183,0.01201927926071183,0.1809623671542354
060_UCR_Anomaly_DISTORTEDgait2_22000_46500_46800.txt,local,0.23601303604501322,-0.0058389449452713234,0.004743395248131385,0.004743395248131385,0.23126964079688184
062_UCR_Anomaly_DISTORTEDgaitHunt1_18500_33070_33180.txt,local,0.19806879213411657,0.046198305301465015,0.0569259598415057,0.0569259598415057,0.14114283229261088
063_UCR_Anomaly_DISTORTEDgaitHunt2_18500_31200_31850.txt,local,0.26399410423477454,0.039410722295158795,0.04375226645313195,0.04375226645313195,0.22024183778164258
072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,local,0.2464746936071849,0.14315863563469156,0.12180962884573876,0.14315863563469156,0.10331605797249335
073_UCR_Anomaly_DISTORTEDpark3m_60000_72150_72495.txt,local,0.20888700512737815,0.004242557680534109,0.008503274165166615,0.008503274165166615,0.20038373096221154
078_UCR_Anomaly_DISTORTEDresperation1_100000_110260_110412.txt,local,0.607680070074375,0.10307077950730285,0.20183398661401136,0.20183398661401136,0.4058460834603636
086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,local,0.20837976367897773,0.0011920366027130401,0.006130148652230803,0.006130148652230803,0.20224961502674693
089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,local,0.17713341800499538,0.004753012671531588,0.0020319946076291354,0.004753012671531588,0.1723804053334638
093_UCR_Anomaly_NOISE1sddb40_35000_52000_52620.txt,local,0.4702697614072504,0.12312723736138757,0.01808334909669348,0.12312723736138757,0.3471425240458628
097_UCR_Anomaly_NOISEGP711MarkerLFM5z3_5000_5948_5993.txt,local,0.6288857325695404,0.030977752204324558,0.005286876930097381,0.030977752204324558,0.5979079803652159
099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,local,0.6690058861813877,0.4003467699344155,0.2549864847435313,0.4003467699344155,0.2686591162469722
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,local,0.3252564321424243,0.16821406789205293,0.1157345136982819,0.16821406789205293,0.15704236425037135
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,local,0.7948778367060924,0.24134824317318868,0.03253061545436942,0.24134824317318868,0.5535295935329037
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,local,0.3296756111952055,0.016829567199246966,0.0621120031876438,0.0621120031876438,0.2675636080075617
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,global,0.1693047868112927,0.1014888706722312,0.17019011232616024,0.17019011232616024,-0.0008853255148675299
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,global,0.7514034728250514,0.6698630518091555,0.5035296247670311,0.6698630518091555,0.08154042101589587
121_UCR_Anomaly_ECG3_15000_16000_16100.txt,local,0.4000459854777833,0.029473078531693682,0.12200210519277886,0.12200210519277886,0.27804388028500443
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,local,0.4469048186775626,0.02389085079015512,0.05798927488080054,0.05798927488080054,0.3889155437967621
151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,local,0.3159534338029631,0.11717645266432995,0.0869144037038009,0.11717645266432995,0.19877698113863312
157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,local,0.3938100397255327,0.056600766465667245,0.21366781802751877,0.21366781802751877,0.18014222169801392
160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,local,0.8670629076277777,0.17603858485796572,0.027797921331935517,0.17603858485796572,0.691024322769812
166_UCR_Anomaly_apneaecg_10000_12240_12308.txt,local,0.4411418206715658,0.02034552446564391,0.011613072854748085,0.02034552446564391,0.4207962962059219
167_UCR_Anomaly_gait1_20000_38500_38800.txt,local,0.3692434666344599,0.006557462593796185,0.024318806570516657,0.024318806570516657,0.34492466006394323
168_UCR_Anomaly_gait2_22000_46500_46800.txt,local,0.35892093836566447,0.0028926633162647307,0.016672900106522795,0.016672900106522795,0.3422480382591417
170_UCR_Anomaly_gaitHunt1_18500_33070_33180.txt,local,0.4887220788501559,0.07940569343906148,0.19695255712830687,0.19695255712830687,0.291769521721849
171_UCR_Anomaly_gaitHunt2_18500_31200_31850.txt,local,0.5610041778884148,0.12165113058543525,0.1493669597944383,0.1493669597944383,0.4116372180939766
181_UCR_Anomaly_park3m_60000_72150_72495.txt,local,0.4281159746082448,0.0719046680057933,0.09515371678047188,0.09515371678047188,0.3329622578277729
197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,local,0.22829148358030749,0.06420805354810592,0.018630812074788356,0.06420805354810592,0.16408343003220155
207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,local,0.2323313396168398,0.316997716044801,0.02819798547583791,0.316997716044801,-0.08466637642796118
221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,local,0.2500615399045571,0.11428670749519526,0.1559933712081625,0.1559933712081625,0.09406816869639459
223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,global,0.7853343615960388,0.030202507167142886,0.009270195283508429,0.030202507167142886,0.7551318544288959
228_MGAB_id_4_Synthetic_tr_25000_1st_38948.csv,local,0.2421350378744648,0.03788122804829121,0.02264321198833865,0.03788122804829121,0.20425380982617358
229_MGAB_id_5_Synthetic_tr_25000_1st_33098.csv,local,0.22541210667078074,0.010090056052722455,0.005643129242864182,0.010090056052722455,0.21532205061805829
230_MGAB_id_6_Synthetic_tr_25000_1st_42441.csv,local,0.382713870063261,0.02625372145641301,0.0011047136917796024,0.02625372145641301,0.356460148606848
244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,global,0.19484699455270948,0.022650330933761915,0.036983613450375014,0.036983613450375014,0.15786338110233447
248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,local,0.5443000725150229,0.20481058915177233,-0.005354540466893434,0.20481058915177233,0.3394894833632506
302_Power_id_1_Facility_tr_7685_1st_7785.csv,global,0.1878118029858441,0.040453110648195366,0.06919151618559387,0.06919151618559387,0.11862028680025023
314_UCR_id_12_HumanActivity_tr_16250_1st_38500.csv,local,0.18545830465145216,0.0003309696894310458,0.013195526596889197,0.013195526596889197,0.17226277805456297
345_UCR_id_43_Facility_tr_25000_1st_44630.csv,global,0.10962030638332572,0.01636187909559886,0.0008144893666414478,0.01636187909559886,0.09325842728772686
368_UCR_id_66_Facility_tr_50000_1st_125720.csv,local,0.38632805376754115,0.04221843283136696,0.05001781305340702,0.05001781305340702,0.3363102407141341
381_UCR_id_79_HumanActivity_tr_16000_1st_31200.csv,local,0.32460285017221874,0.01558077717522797,0.05365768173663971,0.05365768173663971,0.27094516843557903
430_UCR_id_128_HumanActivity_tr_12500_1st_46500.csv,local,0.20949510281046527,0.0037206628095287453,0.02142945024771323,0.02142945024771323,0.18806565256275204
433_UCR_id_131_Facility_tr_50000_1st_106720.csv,local,0.25223672936794994,0.0260962758872056,0.05830061968768777,0.05830061968768777,0.19393610968026218
461_UCR_id_159_Medical_tr_45096_1st_131200.csv,global,0.7860301727708293,0.029655493432948286,0.009933161218358058,0.029655493432948286,0.756374679337881
529_UCR_id_227_Facility_tr_19948_1st_52000.csv,local,0.46800914688035683,0.13601322170604313,0.016471717724111445,0.13601322170604313,0.3319959251743137
867_OPPORTUNITY_id_26_HumanActivity_tr_808_1st_908.csv,local,0.994541910331384,0.6251221967629526,0.3432843852689701,0.6251221967629526,0.3694197135684314
AbstractAnomalyBatch,local,0.8868916070786822,0.014321328283090585,0.009289161887637908,0.014321328283090585,0.8725702787955916
ArchaeologicalAnomalies,local,0.2596825895705568,-0.04833189900426757,-0.036001795970507615,-0.036001795970507615,0.2956843855410644
ArtCollections,local,0.28242552576943675,0.022544455661463625,0.0013619798342684648,0.022544455661463625,0.2598810701079731
