dataset,corpus,mz_rule_auc,hbos_rule_auc,worst
102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,ucr,0.7200834879406308,0.7163729128014842,0.7200834879406308
103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,ucr,0.6921428571428572,0.6535714285714286,0.6921428571428572
105_SVDB_id_22_Medical_tr_500_1st_417.csv,tsbad_m,0.7652414181371023,0.6850637806124715,0.7652414181371023
106_UCR_Anomaly_NOISEgaitHunt2_18500_31200_31850.txt,ucr,0.4895777777777778,0.6958222222222222,0.6958222222222222
107_UCR_Anomaly_NOISEinsectEPG3_5200_7000_7050.txt,ucr,0.6491935483870968,0.695852534562212,0.695852534562212
111_UCR_Anomaly_3sddb40_35000_46600_46900.txt,ucr,0.9791739130434782,0.9732173913043479,0.9791739130434782
114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,ucr,0.8372549019607843,0.8568627450980392,0.8568627450980392
115_PSM_id_1_Facility_tr_50000_1st_129872.csv,tsbad_m,0.7539143723225694,0.5472762231630633,0.7539143723225694
115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,ucr,0.9013605442176871,0.8350340136054422,0.9013605442176871
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,ucr,0.8207282913165266,0.8403361344537815,0.8403361344537815
121_UCR_Anomaly_ECG3_15000_16000_16100.txt,ucr,0.5533422459893048,0.8016042780748662,0.8016042780748662
122_UCR_Anomaly_ECG3_8000_17000_17100.txt,ucr,0.6231283422459893,0.763903743315508,0.763903743315508
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145.csv,tsbad_m,0.7566287878787878,0.32670454545454547,0.7566287878787878
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691.csv,tsbad_m,0.6201190476190477,0.28321428571428575,0.6201190476190477
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995.csv,tsbad_m,0.5214421252371917,0.503225806451613,0.5214421252371917
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500.csv,tsbad_m,0.9976744186046511,0.8046511627906976,0.9976744186046511
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577.csv,tsbad_m,0.7032085561497327,0.4784039489921843,0.7032085561497327
145_SMAP_id_2_Sensor_tr_2133_1st_5400.csv,tsbad_m,0.7596533567354102,0.6744186046511628,0.7596533567354102
