dataset,corpus,mz_rule_auc,hbos_rule_auc
FootballBetting,ovrbench,0.4085929647061034,0.9942977388232863
FootballEfficiency,ovrbench,0.6670354142264254,0.7066426378224131
FootballOutcome,ovrbench,0.869455616609075,0.25060896164957797
FraudEventLog,oddbench,0.7073101278041624,0.5220544229506932
GPUPowerProfile,oddbench,0.5255050505050505,0.34318181818181814
GPUResourceUsage,oddbench,0.5609757235646915,0.34519884030560194
GamingBehavior,ovrbench,0.7982785714285715,0.7920757142857143
GeneExpressionCoactivator,ovrbench,0.922083112468553,0.9347691647525052
GeneticAnalysis,oddbench,0.5620290131202902,0.459660199596602
GeneticMutationAnalysis,ovrbench,0.5918148535564853,0.8628399581589958
GeneticVariation,oddbench,0.7004522753992694,0.6437269283365931
GenomicSequencing,oddbench,0.9399304838598664,0.8424014040883749
GeospatialInvestigation,oddbench,0.8831508678237651,0.4514953271028037
GeotechnicalAnomalies,ovrbench,0.5028996426678185,0.48489437103645966
GesturePhaseSegmentationProcessed,ovrbench,0.35694915254237286,0.27852754237288135
GlobalTerrorismAttack,oddbench,0.5439152555813865,0.5073775726133286
GroceryErrorDept,oddbench,0.7737367985090081,0.7448858089518681
HIVInfection,ovrbench,0.4955043158567775,0.47720188618925835
HeadingDetection,ovrbench,0.39632842812849106,0.43588134510788307
HealthActivityObesity,ovrbench,0.3825840032760739,0.4743833499087072
HealthBehavior,oddbench,0.6234660556500741,0.6417595082597003
HealthMetrics,ovrbench,0.6774004683840749,0.5471922228025542
HealthPulse,oddbench,0.5938241584390473,0.5909017666188146
HeatVulnerability,oddbench,0.6223651960784313,0.7592073621901589
HomicideCircumstance,oddbench,0.5993446737311767,0.7708217140732477
HospitalReadmissions,oddbench,0.7627795174877607,0.7847108896043753
HousePriceSales,oddbench,0.5439814814814814,0.525547138047138
HumanObjectInteraction,oddbench,0.7945896892079289,0.8939248715229627
HumanRobotCollaboration,oddbench,0.5054138082974375,0.6843140103774946
HurricaneTracks,oddbench,0.9500858123569794,0.9495852402745996
ImageSegmentation,ovrbench,0.6369075369075369,0.7072002072002073
InternetAds,adbench_dami,0.6861426767676768,0.5100378787878788
JobChangePatterns,ovrbench,0.6413492004685691,0.5860638601913795
JobMarket,ovrbench,0.6295325469637396,0.6313057333024954
KDD,ovrbench,0.4825296307950492,0.47579714705265364
KPIData,ovrbench,0.3037491919844861,0.38701208293968475
KenyaMovement,ovrbench,0.5832849224215139,0.6263978650787887
KickstarterCampaigns,ovrbench,0.5625280452866659,0.5301183536477654
LandRarity,oddbench,0.40288741759329993,0.5848895113600996
LandShapeAnomaly,oddbench,0.6003521126760564,0.6738127882338278
MalariaDetection,ovrbench,0.8236957023585086,0.8179196644992497
MalwareHardwareMetrics,ovrbench,0.6062201223787367,0.5721524635094652
MedicalClassificationAnomalies,oddbench,0.882912214306916,0.7642405943900268
MissingInformation1,ovrbench,0.7869489029903364,0.7796337771141802
MolecularAnomalies1,ovrbench,0.7800612052730698,0.7727401129943503
MolecularBinding,ovrbench,0.8533150828770719,0.8957098927473187
MouseInteractionPhase,oddbench,0.9910139445186175,0.6947337190327844
MusicGenreAnomaly,oddbench,0.676583904109589,0.6162671232876713
NavigationBugReport,oddbench,0.9550891446626044,0.8929135635296773
NetworkFlowAnomalies,oddbench,0.9800547377974417,0.8452841827618481
NetworkHealthMonitor,ovrbench,0.6825244238679141,0.6936588342405516
NeuroSignalEEG,ovrbench,0.5176996512925802,0.6197979044965334
OkCupidUserBehavior,oddbench,0.5925898283399083,0.59519991470306
OrbitalAnomalies,ovrbench,0.6146107390576416,0.6780076536713705
PTENPhosphatase,oddbench,0.909394801267281,0.7058863767281106
PageBlocks,adbench_dami,0.8996690230440314,0.7401464206340855
PatientStatusTracking,oddbench,0.5559786207548955,0.6129741746287012
PatientSurvival1,ovrbench,0.7309110057925223,0.7680358083201685
PerformanceBenchmark,ovrbench,0.6192758952806234,0.8021189037737502
PhysicsTraining,ovrbench,0.523146473571078,0.5161904937438228
PizzaDetection,ovrbench,0.615991935483871,0.8178225806451612
PokemonBattle,ovrbench,0.6592125561566444,0.6672321419264726
PoliceArrestFraud,oddbench,0.4078252032520325,0.661178861788618
PoliceForceDisturbance,oddbench,0.5701277218753034,0.32879080790759374
PoseDetection,ovrbench,0.6679539146947122,0.5964523079170319
PredictiveMaintenance,ovrbench,0.8602690582959642,0.9211094502574323
ProductionRunStatus,oddbench,0.957468820861678,0.8593253968253968
ProductionWorkflow,ovrbench,0.4754992548435172,0.4975335320417288
ProgrammingAnomalies,oddbench,0.23015176937156803,0.4585684868822453
PropertyCondition,oddbench,0.4860059444379114,0.5127137347533177
ProsperLoan,oddbench,0.5380846721948691,0.5344070447562285
ProteinCodonAnalysis,oddbench,0.34419530595138303,0.256798919623731
ProtestViolence,oddbench,0.7496103905495753,0.8023061986773166
PsychoPrediction,ovrbench,0.49103692783541286,0.5140231801135566
RacingMotion,oddbench,0.6810453990027394,0.7810707739608584
RealEstateBlockType,oddbench,0.5364164820960171,0.5110288837318295
RealEstateData,ovrbench,0.34201220899474527,0.8238439967873952
RealEstateListings,ovrbench,0.502140615495362,0.4609253478763284
RealEstateProperties,oddbench,0.7619571192963166,0.8702209005947322
RemoteSensingAnomalies,oddbench,0.9430820249655024,0.868807906802241
ReviewSentiment,ovrbench,0.8641391391391392,0.7803636970303638
RulePriorityAnomalies,oddbench,0.4902257406459088,0.5260294327521219
Run_or_walk_information,ovrbench,0.5277162361020274,0.4853417266187051
SMSClassification,oddbench,0.855027455216491,0.8552074894229904
SalesOrderPriority,oddbench,0.5420629217520182,0.5061943511896073
SalesPerformance,oddbench,0.6815216033966035,0.8103328962703962
Satellite,ovrbench,0.8689616433959236,0.8278927940940459
SatelliteAnomaly,oddbench,0.8642432996308779,0.8373615792007704
SchoolTypeAnomaly,oddbench,0.5517163504968383,0.6531918096958748
ScientificMeasurement,ovrbench,0.5946764806573092,0.7985107839780897
SensorAnomaly,ovrbench,0.49114921780986764,0.5013748495788207
SepsisMonitoring,ovrbench,0.5039056832361221,0.5379305591828444
ShillBidding,ovrbench,0.8050583887254368,0.9064815571537539
ShuttleOperations,ovrbench,0.7799906346363048,0.8240436286899124
SoftwareQualityMetrics,oddbench,0.6712369937404137,0.6932284541723667
SolarFlare,ovrbench,0.6858561045865029,0.7573179411895546
SpatialAnomalies,ovrbench,0.5754325883201155,0.5610870069008137
SpectralImaging,ovrbench,0.9049721491465945,0.944393652413244
SpeechAnalysis,ovrbench,0.8242316720179024,0.39352865343452037
SpotifyHitPredictor,ovrbench,0.6842050209205022,0.7354014121338912
Stamps,adbench_dami,0.9265850945494994,0.9477196885428253
StockMarketAnomaly,ovrbench,0.8843137254901962,0.4072128851540616
SwampAnomaly,ovrbench,0.9141260928549894,0.7959187518842328
SyntheticNumericalBatch,ovrbench,0.5203989793691969,0.5317825886688162
SystemComponents,ovrbench,0.7112075269341392,0.7789206844440111
SystemFailureCases,oddbench,0.7765548520961906,0.804705788465631
SystemHealth,oddbench,0.9661205652584963,0.9750605397157123
SystemPerformance2,ovrbench,0.7509123931623931,0.536508547008547
TBAnomalyDetection,oddbench,0.6733086242709365,0.6820922058985364
TextAnomalyDetection,ovrbench,0.45012723342545213,0.49608723014200895
ThermalAnomaly,ovrbench,0.9845719381688466,0.9239935450993715
ThyroidFunction,ovrbench,0.9121266484121738,0.8954143455134863
TrafficSensor,ovrbench,0.7916598304621274,0.7927308358399416
TransactionFeeAnomalies,oddbench,0.8810710345519283,0.49531116794543906
TransactionService,oddbench,0.46186155042779364,0.4800844475721323
TreadmillStatus,oddbench,0.5648942593387039,0.48523788338603163
TrialBehavior,oddbench,0.5200070931418186,0.5031945737465089
TwitterEmotion,ovrbench,0.559303665775892,0.5835866261398176
UrlAnalysis,ovrbench,0.7371703052454807,0.669982136389081
UserEventAnomalies,oddbench,0.6077390990122862,0.40445675740785353
UserInteraction1,ovrbench,0.9045581109727783,0.7380863252464753
UserMovieInteractions,ovrbench,0.5167750375395599,0.48800046415058373
UserTrackingAnomalies,oddbench,0.5405899148277197,0.6786561169183121
ViralProteinFunction,ovrbench,0.6529814471243043,0.5291465677179963
VoteOutcome,oddbench,0.7606314917958754,0.7573761854583773
VoteResult,oddbench,0.9573365692052853,0.9926165620144587
WaterChemistry,oddbench,0.7273397188554481,0.7003639142342669
WaterMeterAnomaly,oddbench,0.5804042145667109,0.25554347036537206
WaterPointFunctionality,oddbench,0.4846020308672802,0.47552178703637643
WaterQualityComplaints,oddbench,0.5446409546132538,0.5724364893339963
Waveform,adbench_dami,0.6782511210762332,0.7076949427005481
WeatherEvents,oddbench,0.8997784420608406,0.8351151749604361
WebTrafficError,oddbench,0.7512020675561967,0.47206570300917583
WebpageSessionIntrusion,ovrbench,0.4471477052359405,0.47085488041370394
WellMetrics,ovrbench,0.7687984496124031,0.6493540051679587
Wilt,adbench_dami,0.35372760941182485,0.48244126133113985
WindTurbineFault,oddbench,0.3966327129764367,0.1894386153021368
WindmillAnomaly,oddbench,0.7406199285946121,0.8856323704424971
WindowsEditionAnomaly,oddbench,0.8990005361108984,0.9512777309744455
Word2VecPCA,ovrbench,0.506358042152117,0.5172669972087165
WorkforceDemographics,oddbench,0.9287996863936008,0.922030105221894
XSSDetection,ovrbench,0.7344429165502301,0.6391982336682096
ZookeeperLogs,oddbench,0.1565227170490328,0.5740918803418803
ailerons,ovrbench,0.7132855592863934,0.7282432760927522
compass,ovrbench,0.4838102981767378,0.46323934653775234
dry_bean_dataset,ovrbench,0.9282163569653213,0.9358267250562197
guillermo,ovrbench,0.5162525845368018,0.481571716227792
internet_firewall,ovrbench,0.8850415512465374,0.4732225300092336
jannis,ovrbench,0.5950256680852742,0.6703192113659564
