corpus,dataset,n_norm,n_anom,n_hard,frac_triv,n_eff,fp,d,dip_frac,mean_dip,bc_frac,gmm_k,silh,dip_proj_frac,dip_proj_minp,bestdir_p,eff_frac,base_rate,oracle_apnorm,truefam
tsbad_m,097_SVDB_id_14_Medical_tr_1031_1st_1131.,2359,2556,1182,0.5375586854460094,503,16|204617619e|0eeccb6890,16,0.8125,0.0697919466275165,0.6875,12.0,0.5810279364127918,0.45,0.0,0.0,0.426,0.334,0.075,local
ovrbench,AmazonReviewAnomalies,2400,1564,739,0.5274936061381074,503,3|25a1b6fbf5|4e508188da,3,1.0,0.0688429893601515,1.0,15.0,0.4943094636150826,0.65,0.0,0.0164018259400469,0.681,0.235,0.528,global
ovrbench,sf-police-incidents,2400,269319,253721,0.0579164485238694,501,5|c9f429b3d6|9bb3bfa55e,5,1.0,0.0286199924612347,0.8,6.0,0.2211183537693965,0.0,0.6380322011438091,0.0218012830049836,0.002,0.991,0.083,local
ovrbench,CreditCustomerData,2400,1368,1303,0.0475146198830409,498,7|7a1f554889|90634a2339,7,0.4285714285714285,0.022669377776745,0.5714285714285714,5.0,0.293275058966105,0.1,0.0,0.0,0.382,0.352,0.15,local
ovrbench,CelestialObjects2,2400,9069,1347,0.8514720476347999,497,14|95e7258530|86908407fc,14,0.4285714285714285,0.0151092633600922,0.1428571428571428,14.0,0.240392056927337,0.0,0.7601526422506729,0.994689814982296,0.369,0.359,0.474,global
oddbench,TBAnomalyDetection,2400,2079,1541,0.2587782587782588,496,3|ee1d64fdd5|684ff1680d,3,0.3333333333333333,0.0152235559996193,0.0,7.0,0.2781687795610891,0.0,0.3128893518125503,0.9939374412869324,0.322,0.391,0.337,local
tsbad_m,019_MITDB_id_1_Medical_tr_37500_1st_1032,1757,1167,1007,0.1371036846615252,496,16|37feb419f7|4972c8e1ff,16,0.4375,0.0181134804342952,0.5625,15.0,0.5109473510313107,0.1833333333333333,0.0,0.0,0.493,0.364,0.408,local
ovrbench,PsychoPrediction,2400,14736,13651,0.073629207383279,495,3|448f877cad|9d1b17d59f,3,0.6666666666666666,0.0123814027145263,1.0,9.0,0.3042561800307897,0.0166666666666666,0.0342068686041946,0.3473820724017968,0.036,0.85,0.045,global
tsbad_m,105_SVDB_id_22_Medical_tr_500_1st_417.cs,1283,1072,977,0.0886194029850746,493,16|b71bbbec8a|e268dbf4f2,16,0.8125,0.0618943269749512,0.625,14.0,0.5050063861795978,0.4,0.0,0.0,0.505,0.432,0.034,local
ovrbench,CustomerChurn2,2400,1027,941,0.0837390457643622,487,5|18b77bfe9f|ca8e150c5d,5,1.0,0.066604412568306,0.6,10.0,0.3181587398767878,0.1833333333333333,0.0,0.0,0.518,0.282,0.31,local
tsbad_m,101_SVDB_id_18_Medical_tr_1851_1st_1951.,2647,1322,615,0.5347957639939486,487,16|f88879d6c5|5d11fd7d22,16,0.8125,0.0488764372373587,0.3125,14.0,0.4918694163255906,0.5666666666666667,0.0,0.0,0.792,0.189,0.113,local
ovrbench,FinancialMetricsAnomaly,1568,875,733,0.1622857142857142,486,23|b2eebbd2b4|6d3ab4d133,23,0.1304347826086956,0.0094895337458031,0.1739130434782608,3.0,0.378717857242343,0.0,0.5382631850027538,0.0,0.663,0.319,0.09,global
ovrbench,CardiacHealth,2400,5247,3466,0.3394320564131884,486,5|4d6b8eeb73|8a95aad41e,5,1.0,0.0361766666666666,0.2,15.0,0.232352841273761,0.05,0.0001348091244911,0.9970898394388316,0.14,0.591,0.981,local
ovrbench,SensorAnomaly,2400,1248,1094,0.1233974358974359,484,10|cba95a35b0|e0055e9376,10,0.2,0.0155662503841673,0.3,5.0,0.2659276261788026,0.0333333333333333,0.0001079912973871,2.0373866699174847e-05,0.442,0.313,0.202,local
ovrbench,BCellImmunity,2400,699,559,0.2002861230329041,484,10|90aca6a6c6|97d0bde94b,10,0.4,0.0237166139020778,0.4,15.0,0.2272938728480106,0.0,0.1417753599753092,0.9561551418091144,0.866,0.189,0.221,global
oddbench,HealthPulse,2400,863,812,0.0590961761297798,483,28|c5f14a097e|c0d06c5154,28,0.6071428571428571,0.032949141499202,0.1071428571428571,6.0,0.2263887973168254,0.0,0.7106276006646846,0.99744131451911,0.595,0.253,0.085,local
oddbench,PropertyCondition,2400,5152,4886,0.0516304347826086,483,7|e3bf51bf24|004525e993,7,0.5714285714285714,0.0696650286525451,0.7142857142857143,7.0,0.3177742253863018,0.0666666666666666,0.0,0.0,0.099,0.671,0.037,local
ovrbench,HealthActivityObesity,2400,3730,3539,0.0512064343163538,482,6|2ffcb7c029|315aebd162,6,0.1666666666666666,0.0083764673178927,0.1666666666666666,7.0,0.4390566666788248,0.0,0.404333926225667,0.9455020319762708,0.136,0.596,-0.042,local
oddbench,TransactionFeeAnomalies,2400,966,941,0.025879917184265,481,3|cb1d74298f|b28d3305b9,3,1.0,0.0383425925925926,1.0,14.0,0.9923548212169928,0.6666666666666666,0.0,0.0002687449746594,0.511,0.282,0.579,local
ovrbench,TwitterEmotion,1192,670,582,0.1313432835820895,480,13|b57a957e70|9c0d747bf3,13,0.1538461538461538,0.0099053823240179,0.4615384615384615,9.0,0.1367056095139464,0.0,0.2444211535977759,0.8311762235825545,0.825,0.328,0.141,local
ovrbench,BoundingBoxClassification,2400,15088,2131,0.8587619300106044,479,4|fdd81e067e|c5abc44f01,4,0.75,0.0211367572352052,0.5,15.0,0.3621954088845066,0.2666666666666666,0.0,0.000406648641408,0.225,0.47,0.713,global
ovrbench,FootballEfficiency,2400,1049,808,0.2297426120114394,479,6|6c1c0e698f|e93b9573e2,6,0.1666666666666666,0.0143325635482174,0.0,3.0,0.1352051207427532,0.0,0.4831780183232657,0.0,0.593,0.252,0.276,local
ovrbench,malware-analysis-datasets-pe-section-hea,2400,1725,1636,0.0515942028985507,476,4|67234439b4|b4a0f751e7,4,,,,,,,,,0.291,0.405,,
oddbench,GeneticVariation,1831,1440,959,0.3340277777777777,475,6|62380386af|bc03bba8d8,6,0.5,0.0129892415102189,0.8333333333333334,10.0,0.7507985012109868,0.4166666666666667,0.0,0.0017853956019813,0.495,0.344,0.317,global
tsbad_m,140_CATSv2_id_3_Sensor_tr_28307_1st_2840,4633,1848,1687,0.0871212121212121,472,136|3babbe331d|dcb17f44a5,136,0.4328358208955223,0.0367176734348046,0.5895522388059702,15.0,0.1715399615690047,0.0,0.4730923247477879,0.0,0.28,0.267,0.556,global
adbench,35_SpamBase,1012,1679,1679,0.0,471,57|c77cdf9579|f1f90a5f0c,57,0.1578947368421052,0.0080267214856254,0.9473684210526316,15.0,0.7642969102815313,0.0,0.351189472248507,0.9965420517964116,0.281,0.624,0.733,global
dami,SpamBase,1012,1679,1679,0.0,470,57|d84b0b4c54|0b1606830c,57,0.087719298245614,0.0057352469624171,0.9473684210526316,14.0,0.7655068183406402,0.0,0.2178448395825936,0.9920872691845696,0.28,0.624,0.739,global
tsbad_m,088_SVDB_id_5_Medical_tr_500_1st_168.csv,2419,2175,1811,0.1673563218390804,467,16|0f30432f2a|a12cbb8751,16,0.75,0.0528097962923412,0.625,7.0,0.5312740009069272,0.35,0.0,0.0,0.258,0.428,0.064,local
oddbench,ProsperLoan,2400,3035,2839,0.0645799011532125,462,33|32b3994528|6220556e71,33,0.6060606060606061,0.0278651963524894,0.6363636363636364,9.0,0.2450240576674682,0.0166666666666666,0.0001319969370575,0.9971543662892732,0.163,0.542,0.104,local
tsbad_m,031_MITDB_id_13_Medical_tr_50000_1st_794,5447,723,673,0.0691562932226832,455,16|08ccebc5db|5e20546b73,16,0.625,0.0322919404832812,0.625,14.0,0.558231462785913,0.4333333333333333,0.0,0.0,0.676,0.11,0.016,local
ovrbench,JobChangePatterns,2400,2864,2712,0.053072625698324,455,3|272a61a6e2|65b768a7e7,3,0.6666666666666666,0.0534,1.0,13.0,0.4619817871422452,0.55,0.0,0.0,0.168,0.531,0.404,global
ovrbench,TrafficSensor,2400,3844,672,0.8251821019771072,451,9|660832c603|299cd8b264,9,1.0,0.0731357665689401,0.5555555555555556,13.0,0.2762253147035185,0.4333333333333333,0.0,0.0,0.671,0.219,0.714,local
ovrbench,PokemonBattle,2400,1214,1045,0.1392092257001647,450,12|7680a24e83|a29502e5a1,12,1.0,0.0345153769841269,0.0,4.0,0.1803901590584045,0.0,0.2769904195800717,0.0781532553036994,0.431,0.303,0.307,local
tsbad_m,022_MITDB_id_4_Medical_tr_50000_1st_5425,3430,927,691,0.2545846817691478,448,16|a7709dd9f8|01c99f869e,16,0.8125,0.0395577249228462,0.75,15.0,0.594108056505604,0.4166666666666667,0.0,0.0,0.648,0.168,0.094,local
ovrbench,RealEstateListings,2400,4730,4318,0.0871035940803382,446,6|677241f2ec|4d382aaae5,6,0.6666666666666666,0.0234701054345186,0.6666666666666666,14.0,0.9616753420039444,0.45,0.0,0.0271418268111811,0.103,0.643,-0.031,local
oddbench,BuildingInspections,2400,2935,1357,0.5376490630323679,446,5|3b188946d2|dd30716b7b,5,0.8,0.0794356034966539,0.8,12.0,0.6074442883957317,1.0,0.0,0.0,0.329,0.361,0.222,global
tsbad_m,026_MITDB_id_8_Medical_tr_30495_1st_3059,4824,1828,1193,0.3473741794310722,445,16|b3afad6ce1|a16442fb20,16,0.5625,0.0223486594406126,0.6875,11.0,0.5755673076327408,0.2833333333333333,0.0,0.0,0.373,0.198,0.14,local
ovrbench,ViralProteinFunction,2400,12500,9441,0.24472,442,3|197a0d681d|d1775c3a8e,3,0.3333333333333333,0.0295841399315391,1.0,13.0,0.5700061530442821,0.1,1.588094130977602e-06,0.9952952530545508,0.047,0.797,0.255,local
ovrbench,GeotechnicalAnomalies,1695,963,867,0.0996884735202492,439,6|f2de5ad006|4dbdcadc5c,6,0.3333333333333333,0.0146894867245466,0.3333333333333333,9.0,0.229431205549935,0.0,0.1759893965733175,0.0982319634744304,0.506,0.338,0.139,local
ovrbench,BreastCancer,1364,616,488,0.2077922077922078,434,4|22c1ff6d1e|c2128305f6,4,1.0,0.0465625,0.5,11.0,0.3534264392805573,0.0,0.0996655393668886,0.9753018681606238,0.889,0.263,0.146,global
tsbad_m,098_SVDB_id_15_Medical_tr_500_1st_303.cs,2732,1385,794,0.4267148014440433,434,16|6563fa3f1f|558f93cb6f,16,0.75,0.041754971958165,0.5,7.0,0.5260252088095264,0.4166666666666667,0.0,0.0,0.547,0.225,0.143,local
oddbench,ProtestViolence,2400,2686,1764,0.3432613551749814,434,7|dc32ccb551|225769a6a0,7,0.7142857142857143,0.03525738343975,0.5714285714285714,15.0,0.9335232366512988,0.25,0.0,0.1561456261709201,0.246,0.424,0.776,global
ovrbench,UserMovieInteractions,2400,5503,5122,0.0692349627475922,432,17|03800590ad|9935042533,17,0.8235294117647058,0.0348856885088279,0.4117647058823529,3.0,0.2555310002900865,0.0,0.6171720304084836,0.571476563844886,0.084,0.681,0.213,global
ovrbench,Word2VecPCA,2400,1496,1429,0.0447860962566844,431,3|a2e58e6b3f|42665341d9,3,0.3333333333333333,0.0092740028803776,0.3333333333333333,8.0,0.6604140190751789,0.0833333333333333,0.0,0.0,0.302,0.373,0.056,global
tsbad_m,085_SVDB_id_2_Medical_tr_50000_1st_54982,2674,759,487,0.3583662714097497,425,16|af52cf881f|20f91c74a4,16,0.875,0.0895819791263875,0.75,12.0,0.5834131721887086,0.5166666666666667,0.0,0.0,0.873,0.154,0.191,local
ovrbench,TextAnomalyDetection,2400,2011,1902,0.0542018896071606,424,9|c3bbd245f4|6ff2d075c6,9,0.1111111111111111,0.0063693724178081,0.5555555555555556,5.0,0.443754523851282,0.0,0.3418525704273381,0.9989166049028392,0.223,0.442,-0.031,global
ovrbench,BNG(cmc),2400,4574,4336,0.0520332313073895,421,2|4ce842962f|1e06cc7f78,2,1.0,0.0395259693727849,1.0,12.0,0.4842639478422658,0.1166666666666666,0.0,0.9346846155605254,0.097,0.644,0.168,global
oddbench,GlobalTerrorismAttack,2400,6999,6533,0.0665809401343049,415,5|35f1e9b820|8b091d5a44,5,1.0,0.0600139751552794,0.4,13.0,0.2285530958692085,0.0166666666666666,0.0,0.9877266223652936,0.064,0.731,0.099,global
tsbad_m,021_MITDB_id_3_Medical_tr_50000_1st_5759,6095,622,498,0.1993569131832797,412,16|f46167d750|a746e84ab3,16,0.75,0.037608850142135,0.75,15.0,0.4488993281891319,0.4833333333333333,0.0,4.473433455332021e-06,0.827,0.076,0.481,local
ovrbench,FICO-HELOC-cleaned,2055,846,802,0.0520094562647754,411,21|f9363c62d1|f1fe2e0094,21,0.9523809523809524,0.071075502044252,0.238095238095238,7.0,0.1329675615135707,0.0,0.5409188523118769,0.9958710931678294,0.512,0.281,0.104,local
tsbad_m,082_LTDB_id_4_Medical_tr_4456_1st_4556.c,944,1405,479,0.6590747330960854,411,16|18b41b96f3|28cfba3a61,16,0.875,0.0712308259755835,0.75,10.0,0.6004332795201316,0.55,0.0,0.0,0.858,0.337,0.23,local
oddbench,TrialBehavior,2400,1034,954,0.0773694390715667,409,3|1519f54297|d4c5d36381,3,0.0,0.0065446479939454,0.0,4.0,0.3461080229990177,0.0,0.4951734284108212,0.9983612786440366,0.429,0.284,0.124,global
ovrbench,compass,2400,1425,1329,0.0673684210526315,407,9|26e8aa9927|d528eeb1f1,9,1.0,0.0565324765063571,1.0,15.0,0.376959679130008,0.05,0.0,0.6091497326442399,0.306,0.356,0.065,local
ovrbench,KickstarterCampaigns,2400,31296,13462,0.56984918200409,405,5|d6f53ef141|8264feb246,5,0.4,0.0152806580519547,0.6,7.0,0.7810296245203276,0.0,0.0948858260264978,0.9982607251290104,0.03,0.849,0.012,local
tsbad_m,115_PSM_id_1_Facility_tr_50000_1st_12987,2170,1745,1745,0.0,404,200|48c8fcb34d|25e08e4ab5,200,0.2,0.0103824219729012,0.285,7.0,0.2753808359324612,0.0,0.4379532444022707,0.9921914667272742,0.232,0.446,0.488,global
adbench,19_landsat,2041,1333,1123,0.1575393848462115,404,36|2522061e24|0426c2e79f,36,1.0,0.0362162458397337,0.25,11.0,0.5092036062111303,0.6,0.0,0.0,0.36,0.355,0.564,local
ovrbench,SpatialAnomalies,1022,637,474,0.2558869701726844,399,14|657556dbac|78aa6fe40f,14,0.0,0.0055260621921293,0.0,2.0,0.1688723574151714,0.0,0.7486448060383748,0.9746828560414872,0.842,0.317,0.574,local
tsbad_m,099_SVDB_id_16_Medical_tr_1115_1st_1215.,2708,1650,609,0.6309090909090909,396,16|acba087765|3819470378,16,0.75,0.0256373654352286,0.5,11.0,0.537937127003188,0.3166666666666666,0.0,0.0,0.65,0.184,0.159,local
oddbench,RulePriorityAnomalies,1274,1013,798,0.2122408687068114,392,4|34bcacc8cf|b4aa8eb560,4,1.0,0.0333832207207206,0.75,13.0,0.4042702022698672,0.25,0.0,0.6425312089976487,0.491,0.385,0.108,global
oddbench,WaterChemistry,2372,854,474,0.4449648711943794,391,25|fcbaad4d8d|eefffdb70f,25,0.2,0.0085278202447258,0.76,15.0,0.5382530240364308,0.0,0.7150340611697962,0.9977709093502256,0.825,0.167,0.63,local
ovrbench,EmployeePerformance,2400,8356,6675,0.2011728099569172,387,4|49ae84ef08|05ee725652,4,1.0,0.0363280239790274,0.0,11.0,0.3035590543050142,0.0666666666666666,0.0,0.9942554303994792,0.058,0.736,0.522,local
ovrbench,SepsisMonitoring,2400,890,806,0.0943820224719101,382,12|97ef028c53|1049fd4320,12,0.8333333333333334,0.0397071313757965,0.5,12.0,0.222360233477856,0.0,0.7126175590295487,0.8531159026437338,0.474,0.251,0.103,local
tsbad_m,113_SVDB_id_30_Medical_tr_4552_1st_4652.,2587,858,437,0.4906759906759906,382,16|82b96aa883|6898ddc555,16,0.8125,0.0826922987148933,0.6875,11.0,0.6009558679611728,0.5666666666666667,0.0,0.0,0.874,0.145,0.164,global
ovrbench,BatchProcessingEvents,2400,1394,791,0.4325681492109038,380,6|52df74f087|6b08da6333,6,1.0,0.0645270172777648,1.0,14.0,0.700304003064721,0.5666666666666667,0.0,0.0,0.48,0.248,0.012,local
ovrbench,PhysicsTraining,2400,4080,3461,0.1517156862745098,377,49|0aae4229d1|35044d6706,49,0.5918367346938775,0.0311051240919355,0.5510204081632653,11.0,0.3471235234561448,0.0333333333333333,0.0025158523283841,0.0,0.109,0.591,0.037,local
ovrbench,volkert,2400,724,425,0.4129834254143646,376,147|bab883427d|edb9fcabcc,147,0.54421768707483,0.0164273266647724,0.4421768707482993,10.0,0.2891815151071975,0.0,0.761324108870245,0.6218785764866332,0.885,0.15,0.757,global
ovrbench,FireRiskAnalysis,2400,3819,3631,0.0492275464781356,373,15|6f7e704823|c6601d31e8,15,0.5333333333333333,0.0127144404043668,0.2,5.0,0.2693208287327034,0.0,0.1148731480061766,0.9930875271663872,0.103,0.602,0.131,global
adbench,30_satellite,1760,2036,699,0.656679764243615,370,36|0e45673e6e|8dd630975b,36,1.0,0.040612957066082,0.5555555555555556,9.0,0.4967521758037542,0.6833333333333333,0.0,0.0,0.529,0.284,0.442,global
oddbench,AttackIncidents,1803,550,520,0.0545454545454545,369,6|f6d8fac96d|c317a43d71,6,1.0,0.0591691238478857,0.5,13.0,0.3738472554550849,0.35,0.0,0.0,0.71,0.224,0.034,local
tsbad_m,102_SVDB_id_19_Medical_tr_50000_1st_1073,2439,860,455,0.4709302325581395,367,16|f484a0fed6|c6aeebcd59,16,0.8125,0.0495279757839546,0.5625,13.0,0.6182468441260569,0.5333333333333333,0.0,0.0,0.807,0.157,0.523,local
ovrbench,RealEstateData,1486,491,491,0.0,366,4|854d3e8102|d2ef3d8174,4,0.75,0.0252154806367088,0.75,8.0,0.2240372150745777,0.1666666666666666,0.0,0.0,0.745,0.248,0.506,global
tsbad_m,096_SVDB_id_13_Medical_tr_500_1st_444.cs,2711,656,406,0.3810975609756097,362,16|c11d4e65d3|8ba28bce92,16,0.875,0.0618332936961115,0.75,14.0,0.5268555020699656,0.4833333333333333,0.0,0.0,0.892,0.13,0.216,local
oddbench,RacingMotion,2400,2924,1998,0.3166894664842681,355,10|62a19a4964|90eba1cbfe,10,0.8,0.0440170208216921,0.5,14.0,0.2625208213474936,0.1666666666666666,0.0,0.1867059655697611,0.178,0.454,0.999,local
ovrbench,CryptojackingSystem,2400,598,415,0.3060200668896321,349,14|f360483b75|4a917de846,14,0.7857142857142857,0.032623460558634,0.7857142857142857,15.0,0.6073009450127449,0.05,0.0,0.072703581302731,0.841,0.147,0.322,local
oddbench,LandShapeAnomaly,1419,490,378,0.2285714285714285,346,11|f05318ca37|2247ecbdc6,11,0.8181818181818182,0.0486552320625164,0.5454545454545454,15.0,0.2971365033696138,0.7166666666666667,0.0,0.6681997926602676,0.915,0.21,0.175,global
ovrbench,CreditScoringAnomalies,2400,6565,6153,0.0627570449352627,346,41|b780b9fe2c|4c30e640e0,41,0.8048780487804879,0.065477630857684,0.6097560975609756,13.0,0.2679529790573858,0.0666666666666666,1.4376523788328656e-05,0.0,0.056,0.719,0.079,local
ovrbench,XSSDetection,2400,6051,5040,0.1670798215171046,340,56|e74676e78a|ba5fa3195e,56,0.5892857142857143,0.0390831222378329,0.9285714285714286,14.0,0.921128186947562,0.0,0.8584504515754462,0.9996513604884836,0.067,0.677,0.465,global
ovrbench,NetworkHealthMonitor,2400,1543,787,0.4899546338302009,337,22|3e8b950260|83fa5c6286,22,0.6363636363636364,0.0330965118931868,0.7272727272727273,10.0,0.935980608827562,0.4166666666666667,0.0,0.9923264852405254,0.428,0.247,0.021,local
oddbench,OkCupidUserBehavior,1130,415,374,0.0987951807228915,334,4|c27bf6fe81|cc5ec83a0b,4,1.0,0.043375,0.75,8.0,0.4706918559491373,0.0,0.4032349171018521,0.8976626977203356,0.893,0.249,0.082,local
tsbad_m,087_SVDB_id_4_Medical_tr_5421_1st_5521.c,2636,1128,431,0.6179078014184397,331,16|2cd70e985e|88b67419a9,16,0.875,0.0863435001388356,0.625,13.0,0.5528972486665691,0.6666666666666666,0.0,0.0,0.768,0.141,0.217,local
