modality,seed,dataset,regret,pick,true_best,best_auc,pick_auc,rand_regret,best_regime,best_regime_regret,category,regret_hard_K30,regret_hard_K50,regret_random_K30,regret_random_K50,regret_smallest_K30,regret_smallest_K50,rho_hard_K30,rho_hard_K50,rho_random_K30,rho_random_K50,rho_smallest_K30,rho_smallest_K50
tabular,0,14_glass,0.0,CBLOF,CBLOF,0.929539295392954,0.929539295392954,0.1213489912676905,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.5,0.8499999999999999,0.8499999999999999
tabular,0,18_Ionosphere,0.0,CBLOF,CBLOF,0.9670194003527337,0.9670194003527337,0.08679208308837938,hard_K30,0.023104056437389886,ok,0.023104056437389886,0.023104056437389886,0.023104056437389886,0.023104056437389886,0.04426807760141105,0.04426807760141105,0.5499999999999999,0.5499999999999999,0.8166666666666667,0.8166666666666667,0.6333333333333333,0.6166666666666666
tabular,0,19_landsat,0.001127118214421352,LOF,KNN,0.7663889527719834,0.765261834557562,0.1970777545839285,smallest_K50,0.0,ok,0.001127118214421352,0.001127118214421352,0.001127118214421352,0.001127118214421352,0.001127118214421352,0.0,0.9166666666666666,0.7999999999999999,0.8333333333333333,0.9166666666666666,0.8333333333333333,0.9
tabular,0,20_letter,0.0,LOF,LOF,0.8948666666666667,0.8948666666666667,0.2347125,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
tabular,0,22_magic.gamma,0.009781629470736242,LOF,KNN,0.8379691472896783,0.8281875178189421,0.10159586337636595,hard_K30,0.009781629470736242,ok,0.009781629470736242,0.009781629470736242,0.009781629470736242,0.009781629470736242,0.009781629470736242,0.009781629470736242,0.8833333333333333,0.9833333333333333,0.9,0.9500000000000001,0.9666666666666667,0.9666666666666667
tabular,0,23_mammography,0.04940151381798985,LOF,ECOD,0.9068623481781377,0.8574608343601479,0.030307066439789643,hard_K30,0.04940151381798985,flip,0.04940151381798985,0.04940151381798985,0.04940151381798985,0.04940151381798985,0.04940151381798985,0.04940151381798985,-0.48333333333333334,-0.5333333333333333,-0.6666666666666667,-0.48333333333333334,-0.26666666666666666,-0.5166666666666667
tabular,0,25_musk,0.0,LOF,CBLOF,1.0,1.0,0.015209904015731524,hard_K30,0.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.6266795614405122,0.5309368506648784,0.5657523818560181,0.6266795614405122,0.644087327036082,0.7137183894183612
tabular,0,26_optdigits,0.0017422748191977533,KNN,LOF,0.9990664036817882,0.9973241288625905,0.1414612097304404,random_K50,0.0,ok,0.0017422748191977533,0.0017422748191977533,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.8333333333333335,0.880952380952381,0.880952380952381,0.9047619047619048,0.6904761904761906,0.6904761904761906
tabular,0,27_PageBlocks,0.007216970718686544,LOF,PCA,0.9254239669255624,0.9182069962068758,0.09152735130217216,smallest_K30,0.0,ok,0.007216970718686544,0.007216970718686544,0.007216970718686544,0.007216970718686544,0.0,0.007216970718686544,-0.15,-0.16666666666666669,0.41666666666666663,-0.06666666666666667,0.7833333333333333,-0.15
tabular,0,28_pendigits,0.005207438379441376,LOF,KNN,0.9988449128434237,0.9936374744639823,0.043287660190117316,smallest_K30,0.0,ok,0.005207438379441376,0.005207438379441376,0.005207438379441376,0.005207438379441376,0.0,0.005207438379441376,0.9666666666666667,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9833333333333333,0.9500000000000001
