dataset,status,n,d,rate,seed,regret,random_regret,best_regret_possible,pick,max_regime_var,score_json,true_auc_json,regime_var_json
NFTPrimateRarity.npz,ok,2566,7,0.2514,1.0,0.0,0.18975938789892277,0.0,LOF,0.02224642532653292,"{""CBLOF"": 5.131758994192273, ""COPOD"": 2.207151789158731, ""ECOD"": 2.218484107352553, ""HBOS"": 4.776105633037604, ""IForest"": 5.64632665319244, ""KNN"": 8.437316140181226, ""LODA"": 4.144715211956013, ""LOF"": 8.562683859818774}","{""IForest"": 0.6554394442766536, ""LOF"": 1.0, ""KNN"": 1.0, ""ECOD"": 0.7283640390617134, ""COPOD"": 0.7097110641296688, ""HBOS"": 0.7078787878787879, ""CBLOF"": 0.9732890365448504, ""LODA"": 0.7072425249169435}","{""smallest_K30"": 0.00783876688958966, ""random_K30"": 0.007492134655132622, ""hard_K30"": 0.02224642532653292, ""smallest_K50"": 0.006925355270023719, ""random_K50"": 0.006838701847974641, ""hard_K50"": 0.015189338271908622}"
NFTPrimateRarity.npz,ok,2566,7,0.2514,2.0,0.0,0.22615171650055377,0.0,LOF,0.022089343922597832,"{""CBLOF"": 5.677084813100372, ""COPOD"": 2.3306272956084726, ""ECOD"": 2.954730434207053, ""HBOS"": 5.5790961498643385, ""IForest"": 5.941237503138086, ""KNN"": 8.343197492793806, ""LODA"": 2.9913657829980784, ""LOF"": 8.401959989655719}","{""IForest"": 0.6546501560455049, ""LOF"": 1.0, ""KNN"": 1.0, ""ECOD"": 0.6956448202959831, ""COPOD"": 0.677177086479412, ""HBOS"": 0.6643672606463303, ""CBLOF"": 0.9656095842142354, ""LODA"": 0.5333373603141045}","{""smallest_K30"": 0.007398168058307414, ""random_K30"": 0.007770072360325617, ""hard_K30"": 0.022089343922597832, ""smallest_K50"": 0.004218045000092464, ""random_K50"": 0.007553595520480825, ""hard_K50"": 0.017177074473737085}"
CognitiveResponse.npz,ok,5184,3,0.1111,0.0,0.0,0.24962246173776803,0.0,LOF,0.015818006379305437,"{""CBLOF"": 2.7801074452438663, ""COPOD"": 2.725545286717345, ""ECOD"": 2.5534341553132753, ""HBOS"": 6.8946614013633125, ""IForest"": 5.627168795114792, ""KNN"": 7.2473159078809095, ""LODA"": 5.2028906719699695, ""LOF"": 8.046251711362203, ""PCA"": 3.9226246250343304}","{""IForest"": 0.7802783803326103, ""LOF"": 0.997806323812967, ""KNN"": 0.9650047451193059, ""ECOD"": 0.8037686038804531, ""COPOD"": 0.8196741684743313, ""HBOS"": 0.7814486547963364, ""PCA"": 0.995211572065558, ""CBLOF"": 0.41624864425162694, ""LODA"": 0.17421366594360085}","{""smallest_K30"": 0.004014616950064988, ""random_K30"": 0.009957731045984632, ""hard_K30"": 0.013771964431484646, ""smallest_K50"": 0.006597892256085223, ""random_K50"": 0.00399296492562377, ""hard_K50"": 0.015818006379305437}"
CognitiveResponse.npz,ok,5184,3,0.1111,1.0,0.2139107315015667,0.25331206398462824,0.0,HBOS,0.026532019637746193,"{""CBLOF"": 4.134081648968302, ""COPOD"": 2.4438477703779764, ""ECOD"": 2.0113367476021233, ""HBOS"": 7.767023326465067, ""IForest"": 5.066039720411558, ""KNN"": 6.755658297985146, ""LODA"": 5.789858317952128, ""LOF"": 7.56044783336565, ""PCA"": 3.4717063368720478}","{""IForest"": 0.7430743853940709, ""LOF"": 0.9982657718727405, ""KNN"": 0.9653229693902146, ""ECOD"": 0.8009526015304893, ""COPOD"": 0.8237847222222223, ""HBOS"": 0.7843550403711738, ""PCA"": 0.9958762653651482, ""CBLOF"": 0.4131567847674138, ""LODA"": 0.17979483007953723}","{""smallest_K30"": 0.005225559456823699, ""random_K30"": 0.005824137838580614, ""hard_K30"": 0.026532019637746193, ""smallest_K50"": 0.006647506176652921, ""random_K50"": 0.008843945287002192, ""hard_K50"": 0.021181846090835538}"
CognitiveResponse.npz,ok,5184,3,0.1111,2.0,0.2073466497951314,0.24132195508957988,0.0,HBOS,0.01812499332866438,"{""CBLOF"": 3.7090225754125887, ""COPOD"": 1.8419223763081372, ""ECOD"": 1.8799355052503925, ""HBOS"": 8.278181306009149, ""IForest"": 5.383657419653961, ""KNN"": 7.161060842028742, ""LODA"": 5.443936828913648, ""LOF"": 8.037952210378208, ""PCA"": 3.264330936045176}","{""IForest"": 0.7732991006869124, ""LOF"": 0.9972433116413594, ""KNN"": 0.9631820167510243, ""ECOD"": 0.8056996038201976, ""COPOD"": 0.8134094812002892, ""HBOS"": 0.789896661846228, ""PCA"": 0.992684607736804, ""CBLOF"": 0.49850679380573637, ""LODA"": 0.16937063147746445}","{""smallest_K30"": 0.008639820746595174, ""random_K30"": 0.013537832987094128, ""hard_K30"": 0.01812499332866438, ""smallest_K50"": 0.0021015475411222378, ""random_K50"": 0.0037393998042402465, ""hard_K50"": 0.015322375508806614}"
GeospatialCrimeResolution.npz,filtered,129957,10,0.0013,,,,,,,,,
KickstarterCampaigns.npz,ok,3986,12,0.29,0.0,0.03500250651081471,0.2016382663368126,0.0,KNN,0.03059542240672544,"{""CBLOF"": 5.011381257363113, ""COPOD"": 3.267436295757808, ""ECOD"": 3.5085560034224335, ""HBOS"": 6.37262686642894, ""IForest"": 5.1565184903794075, ""KNN"": 7.730148222239444, ""LODA"": 4.24162563307744, ""LOF"": 6.638950617534856, ""PCA"": 3.0727566137965567}","{""IForest"": 0.4564616014770073, ""LOF"": 0.4883378470906134, ""KNN"": 0.6330880824580923, ""ECOD"": 0.4707945639282527, ""COPOD"": 0.3014109821854329, ""HBOS"": 0.668090588968907, ""PCA"": 0.3134208370523433, ""CBLOF"": 0.3743504468925379, ""LODA"": 0.4921159536356634}","{""smallest_K30"": 0.010643008464198458, ""random_K30"": 0.013913611685214945, ""hard_K30"": 0.0276305773800192, ""smallest_K50"": 0.023253226040250614, ""random_K50"": 0.010666873340327494, ""hard_K50"": 0.03059542240672544}"
KickstarterCampaigns.npz,ok,3986,12,0.29,1.0,0.04056726619144846,0.20776758531306933,0.0,KNN,0.029402977025495783,"{""CBLOF"": 5.619669932070989, ""COPOD"": 2.584285574415629, ""ECOD"": 3.2253459860282403, ""HBOS"": 6.5106952397708096, ""IForest"": 4.88813203001854, ""KNN"": 8.29105341093447, ""LODA"": 4.1295718149862735, ""LOF"": 7.138449151464568, ""PCA"": 2.612796860310475}","{""IForest"": 0.4973589934830719, ""LOF"": 0.48866873708535585, ""KNN"": 0.6453317764436891, ""ECOD"": 0.47841496814897233, ""COPOD"": 0.3078514922909509, ""HBOS"": 0.6858990426351376, ""PCA"": 0.31775526672943133, ""CBLOF"": 0.37644430043894506, ""LODA"": 0.5054585386430606}","{""smallest_K30"": 0.01127972688044957, ""random_K30"": 0.014271273754584398, ""hard_K30"": 0.028704549409576882, ""smallest_K50"": 0.017470234532639847, ""random_K50"": 0.013351886534636915, ""hard_K50"": 0.029402977025495783}"
KickstarterCampaigns.npz,ok,3986,12,0.29,2.0,0.034197060657561784,0.20973781149680132,0.0,KNN,0.030623741788612636,"{""CBLOF"": 4.924618438133795, ""COPOD"": 3.3363960496690406, ""ECOD"": 3.197397169636849, ""HBOS"": 5.6650121820699555, ""IForest"": 6.1372592038450815, ""KNN"": 7.440097454515701, ""LODA"": 4.155982152293739, ""LOF"": 6.233103390347055, ""PCA"": 3.91013395948878}","{""IForest"": 0.45561336153667453, ""LOF"": 0.4830810520009292, ""KNN"": 0.6344483230831305, ""ECOD"": 0.4506400772738943, ""COPOD"": 0.27263807206524265, ""HBOS"": 0.6686453837406923, ""PCA"": 0.31170754520889626, ""CBLOF"": 0.3626355655544279, ""LODA"": 0.49075876973113086}","{""smallest_K30"": 0.026831314025402155, ""random_K30"": 0.009996731860631417, ""hard_K30"": 0.030623741788612636, ""smallest_K50"": 0.01897498285989519, ""random_K50"": 0.014915065798400372, ""hard_K50"": 0.028281755208995285}"
AustinCrime.npz,ok,4846,4,0.0421,0.0,0.05277126997192849,0.11961874810921846,0.0,IForest,0.016393627196593374,"{""CBLOF"": 2.6781492218615375, ""COPOD"": 5.113052392322138, ""ECOD"": 5.669227826673829, ""HBOS"": 5.287669620879005, ""IForest"": 7.55663280671684, ""KNN"": 4.089784532304512, ""LODA"": 3.527509093336062, ""LOF"": 4.7182846433791745, ""PCA"": 6.3596898625268965}","{""IForest"": 0.7296692627535406, ""LOF"": 0.5115557525485975, ""KNN"": 0.7824405327254691, ""ECOD"": 0.6973131556174677, ""COPOD"": 0.7337850102366027, ""HBOS"": 0.6624506637961967, ""PCA"": 0.6478133772346397, ""CBLOF"": 0.5092762616349016, ""LODA"": 0.6910920449988394}","{""smallest_K30"": 0.016393627196593374, ""random_K30"": 0.0008598222777912398, ""hard_K30"": 0.0044369174985902276, ""smallest_K50"": 0.008640550493537232, ""random_K50"": 0.000880295195564982, ""hard_K50"": 0.0038509664869315983}"
AustinCrime.npz,ok,4846,4,0.0421,1.0,0.044436881318727584,0.10552788272347557,0.0,IForest,0.012494932228437979,"{""CBLOF"": 4.767134207211604, ""COPOD"": 5.47082592199869, ""ECOD"": 3.9941104538689887, ""HBOS"": 5.20425551368835, ""IForest"": 6.790675640811445, ""KNN"": 5.945187889029454, ""LODA"": 3.316632726301743, ""LOF"": 6.1604254863214445, ""PCA"": 3.350752160768282}","{""IForest"": 0.7371435657147681, ""LOF"": 0.5172966926275354, ""KNN"": 0.7815804470334957, ""ECOD"": 0.6981626881107663, ""COPOD"": 0.7318854344751895, ""HBOS"": 0.6685847105257605, ""PCA"": 0.673615947993837, ""CBLOF"": 0.6140589712741932, ""LODA"": 0.6621446210346356}","{""smallest_K30"": 0.012494932228437979, ""random_K30"": 0.0007339057363389298, ""hard_K30"": 0.005393940318076131, ""smallest_K50"": 0.0028227479123070264, ""random_K50"": 0.001381241867655204, ""hard_K50"": 0.0058627527265136805}"
AustinCrime.npz,ok,4846,4,0.0421,2.0,0.0464947550602588,0.11648386181407144,0.0,IForest,0.022627686408496,"{""CBLOF"": 3.6910136684759496, ""COPOD"": 4.822952736734672, ""ECOD"": 4.784915549615345, ""HBOS"": 4.702475175318836, ""IForest"": 7.635397683157971, ""KNN"": 6.144231925854297, ""LODA"": 3.3336841374025843, ""LOF"": 4.1101235491932435, ""PCA"": 5.775205574247103}","{""IForest"": 0.7390800776715422, ""LOF"": 0.5203201840477849, ""KNN"": 0.785574832731801, ""ECOD"": 0.6958040482070116, ""COPOD"": 0.7322336900314486, ""HBOS"": 0.6636167922497309, ""PCA"": 0.662825302349142, ""CBLOF"": 0.5424924544629478, ""LODA"": 0.6798713565081576}","{""smallest_K30"": 0.022627686408496, ""random_K30"": 0.0013359810574690373, ""hard_K30"": 0.005631552367542102, ""smallest_K50"": 0.008169761741759542, ""random_K50"": 0.0006126354346580432, ""hard_K50"": 0.004039073349564689}"
ResidueLigandClassification.npz,filtered,14498,9,0.0006,,,,,,,,,
BudgetGoal.npz,ok,3323,16,0.0813,0.0,0.0,0.1278641571194763,0.0,KNN,0.0846979506853938,"{""CBLOF"": 6.0, ""COPOD"": 1.398480570124293, ""ECOD"": 2.29057631425806, ""HBOS"": 3.7054070402563726, ""IForest"": 3.4570802535116183, ""KNN"": 7.7270778134336915, ""LODA"": 4.148455821849655, ""LOF"": 7.272922186566308}","{""IForest"": 0.9770867430441899, ""LOF"": 1.0, ""KNN"": 1.0, ""ECOD"": 1.0, ""COPOD"": 1.0, ""HBOS"": 1.0, ""CBLOF"": 0.9770867430441899, ""LODA"": 0.022913256955810146}","{""smallest_K30"": 0.0846979506853938, ""random_K30"": 0.052263834290896746, ""hard_K30"": 0.0778134538047854, ""smallest_K50"": 0.05269351465208581, ""random_K50"": 0.0639344271658038, ""hard_K50"": 0.062070214662901614}"
BudgetGoal.npz,ok,3323,16,0.0813,1.0,0.0,0.12827332242225853,0.0,KNN,0.06389081940844225,"{""CBLOF"": 6.0, ""COPOD"": 1.1450170131053032, ""ECOD"": 2.615753273865197, ""HBOS"": 3.9501906355089185, ""IForest"": 4.281315912221475, ""KNN"": 8.0, ""LODA"": 3.0077231652991054, ""LOF"": 7.0}","{""IForest"": 0.9869067103109657, ""LOF"": 1.0, ""KNN"": 1.0, ""ECOD"": 0.9999999999999999, ""COPOD"": 1.0, ""HBOS"": 1.0, ""CBLOF"": 0.9869067103109656, ""LODA"": 0.0}","{""smallest_K30"": 0.06389081940844225, ""random_K30"": 0.04525880482626492, ""hard_K30"": 0.05529138699842029, ""smallest_K50"": 0.06370043551757042, ""random_K50"": 0.0481537028925431, ""hard_K50"": 0.05576039240255014}"
BudgetGoal.npz,ok,3323,16,0.0813,2.0,0.0,0.12950081833060556,0.0,KNN,0.06026126994431865,"{""CBLOF"": 6.0, ""COPOD"": 1.312540492099848, ""ECOD"": 2.6514393599137027, ""HBOS"": 3.32132661733785, ""IForest"": 3.9912138747619976, ""KNN"": 7.839336691331075, ""LODA"": 3.7234796558866012, ""LOF"": 7.160663308668925}","{""IForest"": 0.9819967266775779, ""LOF"": 1.0, ""KNN"": 1.0, ""ECOD"": 1.0, ""COPOD"": 1.0, ""HBOS"": 1.0, ""CBLOF"": 0.9819967266775778, ""LODA"": 0.0}","{""smallest_K30"": 0.06025689113509399, ""random_K30"": 0.051502097673842194, ""hard_K30"": 0.0532426611080445, ""smallest_K50"": 0.06026126994431865, ""random_K50"": 0.051375317444150095, ""hard_K50"": 0.05252683959961237}"
SchoolTypeAnomaly.npz,ok,2486,7,0.0109,0.0,0.05525444143330327,0.09045970089330513,0.0,IForest,0.013477034227684079,"{""CBLOF"": 3.658170622658596, ""COPOD"": 4.414631764840258, ""ECOD"": 3.2512496902047943, ""HBOS"": 5.0672299156883245, ""IForest"": 8.360344898944053, ""KNN"": 6.851878585338709, ""LODA"": 3.395804491512051, ""LOF"": 3.8192156528426726, ""PCA"": 6.181474377970538}","{""IForest"": 0.5974480578139114, ""LOF"": 0.4296522131887986, ""KNN"": 0.4963113520024089, ""ECOD"": 0.5975609756097561, ""COPOD"": 0.5907106293285155, ""HBOS"": 0.6527024992472147, ""PCA"": 0.5690304125263476, ""CBLOF"": 0.5473501957241795, ""LODA"": 0.579418849744053}","{""smallest_K30"": 0.013477034227684079, ""random_K30"": 0.003411786374044653, ""hard_K30"": 0.007629525590259854, ""smallest_K50"": 0.008863818560479877, ""random_K50"": 0.0023767031255683326, ""hard_K50"": 0.005451370067188056}"
SchoolTypeAnomaly.npz,ok,2486,7,0.0109,1.0,0.026949713941583853,0.07318327812907754,0.0,IForest,0.02923892547419163,"{""CBLOF"": 6.561461028324912, ""COPOD"": 3.2682778514798887, ""ECOD"": 3.3363091125660373, ""HBOS"": 4.242534762463251, ""IForest"": 7.635967780899769, ""KNN"": 6.916690644519503, ""LODA"": 3.327740613950062, ""LOF"": 5.1378497566529004, ""PCA"": 4.573168449143678}","{""IForest"": 0.6105088828666064, ""LOF"": 0.45084311954230655, ""KNN"": 0.4816320385426076, ""ECOD"": 0.5959801264679314, ""COPOD"": 0.5756549232158988, ""HBOS"": 0.6374585968081903, ""PCA"": 0.5813760915386931, ""CBLOF"": 0.5517163504968383, ""LODA"": 0.593307738632942}","{""smallest_K30"": 0.014060151118122432, ""random_K30"": 0.007532692834409828, ""hard_K30"": 0.02923892547419163, ""smallest_K50"": 0.006481500502760945, ""random_K50"": 0.002064457462312334, ""hard_K50"": 0.008538874976023127}"
SchoolTypeAnomaly.npz,ok,2486,7,0.0109,2.0,0.07204155374887089,0.10884857305363194,0.0,IForest,0.020253551063479855,"{""CBLOF"": 6.012009799655593, ""COPOD"": 3.224977840641353, ""ECOD"": 3.987719930587074, ""HBOS"": 5.71407450284653, ""IForest"": 8.441430387838713, ""KNN"": 6.262218545651758, ""LODA"": 2.1838896291044465, ""LOF"": 4.548317461170755, ""PCA"": 4.625361902503768}","{""IForest"": 0.5777627220716651, ""LOF"": 0.36818729298404096, ""KNN"": 0.47545919903643485, ""ECOD"": 0.5827311050888286, ""COPOD"": 0.5714393255043662, ""HBOS"": 0.649804275820536, ""PCA"": 0.5589430894308942, ""CBLOF"": 0.552393857271906, ""LODA"": 0.5318804576934659}","{""smallest_K30"": 0.014469983740264009, ""random_K30"": 0.01000657660664248, ""hard_K30"": 0.020253551063479855, ""smallest_K50"": 0.007712327521295008, ""random_K50"": 0.004370966123380858, ""hard_K50"": 0.007964790156049442}"
EmailSpamDetection.npz,ok,2892,72,0.1663,0.0,0.056550578289708775,0.14229542490412062,0.0,IForest,0.006325584384228728,"{""CBLOF"": 4.262948507366333, ""COPOD"": 4.4162921663028545, ""ECOD"": 4.60123610370772, ""HBOS"": 4.22142318971606, ""IForest"": 6.611775344816608, ""KNN"": 4.708673364080364, ""LODA"": 2.8472137630237544, ""LOF"": 4.33043756098631}","{""IForest"": 0.7846747846747847, ""LOF"": 0.6772811990203296, ""KNN"": 0.6127632649371779, ""ECOD"": 0.7094605355474921, ""COPOD"": 0.6932331280157367, ""HBOS"": 0.8412253629644935, ""CBLOF"": 0.6112524373393938, ""LODA"": 0.6615487919835746}","{""smallest_K30"": 0.0011580272548697595, ""random_K30"": 0.0008421927097986967, ""hard_K30"": 0.0030403464195912023, ""smallest_K50"": 0.006325584384228728, ""random_K50"": 0.000575171841339005, ""hard_K50"": 0.0026730214345517095}"
EmailSpamDetection.npz,ok,2892,72,0.1663,1.0,0.004411960933699999,0.1282487097704489,0.0,IForest,0.00285783681984174,"{""CBLOF"": 4.686931773895287, ""COPOD"": 3.6549068293690086, ""ECOD"": 3.6789624996465102, ""HBOS"": 4.86568013802508, ""IForest"": 6.017600969261085, ""KNN"": 4.997246427380958, ""LODA"": 2.4057206564660034, ""LOF"": 5.6929507059560756}","{""IForest"": 0.8379239248804466, ""LOF"": 0.690207168468038, ""KNN"": 0.6252200600026687, ""ECOD"": 0.7254985515855081, ""COPOD"": 0.7054230532491402, ""HBOS"": 0.8423358858141466, ""CBLOF"": 0.6330668939364592, ""LODA"": 0.6530218704131747}","{""smallest_K30"": 0.002032200039670357, ""random_K30"": 0.000498155201936009, ""hard_K30"": 0.002643996842387629, ""smallest_K50"": 0.0012101864871198011, ""random_K50"": 0.000794376627009768, ""hard_K50"": 0.00285783681984174}"
EmailSpamDetection.npz,ok,2892,72,0.1663,2.0,0.0,0.13995574049921877,0.0,IForest,0.0031582369214176705,"{""CBLOF"": 3.3897395265904358, ""COPOD"": 4.966675928853819, ""ECOD"": 5.178108401595987, ""HBOS"": 4.05371513669304, ""IForest"": 6.96272202822366, ""KNN"": 4.36444683646575, ""LODA"": 2.3139443266806374, ""LOF"": 4.77064781489667}","{""IForest"": 0.8235473887647801, ""LOF"": 0.6804750283011153, ""KNN"": 0.6306177175742392, ""ECOD"": 0.6980281762890459, ""COPOD"": 0.6930953887475627, ""HBOS"": 0.8059253711427625, ""CBLOF"": 0.6203303159824899, ""LODA"": 0.5167137993224951}","{""smallest_K30"": 0.0031582369214176705, ""random_K30"": 0.0004756166188052601, ""hard_K30"": 0.0013499380644781589, ""smallest_K50"": 0.0017315816682190014, ""random_K50"": 0.0002438037617156697, ""hard_K50"": 0.0010534975571118356}"
FishingAnomalies.npz,ok,9148,3,0.053,0.0,0.15448807562120387,0.09876899403731487,0.0,KNN,0.05815997151747792,"{""CBLOF"": 6.02313567526621, ""COPOD"": 1.8915082352408028, ""ECOD"": 1.531625943663767, ""HBOS"": 4.7374095815169746, ""IForest"": 6.237355978043758, ""KNN"": 8.999999999999998, ""LODA"": 4.55839375715904, ""LOF"": 8.0, ""PCA"": 3.0205708291094506}","{""IForest"": 0.5866699186798413, ""LOF"": 0.5121052224555476, ""KNN"": 0.46947965806271236, ""ECOD"": 0.521908852416107, ""COPOD"": 0.5420764897293889, ""HBOS"": 0.4865765224478142, ""PCA"": 0.524799971445738, ""CBLOF"": 0.6239677336839162, ""LODA"": 0.4592042878983468}","{""smallest_K30"": 0.01530711552305331, ""random_K30"": 0.016255322975706175, ""hard_K30"": 0.04303074279172341, ""smallest_K50"": 0.01156905666495958, ""random_K50"": 0.03739428032944621, ""hard_K50"": 0.05815997151747792}"
FishingAnomalies.npz,ok,9148,3,0.053,1.0,0.09802440199641882,0.05235073623066555,0.0,KNN,0.050817000717015094,"{""CBLOF"": 5.679002829492627, ""COPOD"": 1.780572588618237, ""ECOD"": 2.0183909177017543, ""HBOS"": 5.040681583728599, ""IForest"": 6.4107619710700305, ""KNN"": 9.000000000000002, ""LODA"": 4.379140961295696, ""LOF"": 8.0, ""PCA"": 2.691449148093056}","{""IForest"": 0.5698651405999964, ""LOF"": 0.5181212485351069, ""KNN"": 0.47199064847918815, ""ECOD"": 0.5183520621531104, ""COPOD"": 0.5378748490490837, ""HBOS"": 0.48395072010279533, ""PCA"": 0.5221961796776937, ""CBLOF"": 0.570015050475607, ""LODA"": 0.46661292913189095}","{""smallest_K30"": 0.018045920457137654, ""random_K30"": 0.037904644913289716, ""hard_K30"": 0.050817000717015094, ""smallest_K50"": 0.013715039451276619, ""random_K50"": 0.028187765816368657, ""hard_K50"": 0.045620862502412415}"
FishingAnomalies.npz,ok,9148,3,0.053,2.0,0.11614505565106692,0.07762918985874234,0.0,KNN,0.05444223785869273,"{""CBLOF"": 5.984603659351167, ""COPOD"": 2.0369098403207477, ""ECOD"": 1.560586779201022, ""HBOS"": 4.432499911675408, ""IForest"": 6.268525566246622, ""KNN"": 9.000000000000002, ""LODA"": 4.342571459205203, ""LOF"": 8.0, ""PCA"": 3.3743027839998323}","{""IForest"": 0.5733136626194966, ""LOF"": 0.5189415886877531, ""KNN"": 0.4781708615653685, ""ECOD"": 0.5055621322895164, ""COPOD"": 0.529296672833594, ""HBOS"": 0.48563899084478973, ""PCA"": 0.5093562798555631, ""CBLOF"": 0.5943159172164354, ""LODA"": 0.4555844403067204}","{""smallest_K30"": 0.01566247756412835, ""random_K30"": 0.024774317894030975, ""hard_K30"": 0.05124662619292617, ""smallest_K50"": 0.015395843573062255, ""random_K50"": 0.0464014884283041, ""hard_K50"": 0.05444223785869273}"
PriceValidation.npz,ok,5807,3,0.0053,0.0,0.0,0.2630889484193426,0.0,KNN,0.04780643666496201,"{""CBLOF"": 5.330871240226841, ""COPOD"": 2.886089075858597, ""ECOD"": 2.5547081292019436, ""HBOS"": 4.374686552544756, ""IForest"": 7.0706053182533, ""KNN"": 8.620000015951916, ""LODA"": 3.0979616507355017, ""LOF"": 8.168184029288183, ""PCA"": 2.896893987938959}","{""IForest"": 0.8114465900212077, ""LOF"": 0.891226699408416, ""KNN"": 0.9718997655988393, ""ECOD"": 0.642984708114745, ""COPOD"": 0.7099285634557428, ""HBOS"": 0.4959677419354839, ""PCA"": 0.6997153700189753, ""CBLOF"": 0.7109889496595603, ""LODA"": 0.4451389664025003}","{""smallest_K30"": 0.012507939010885333, ""random_K30"": 0.029378757031143763, ""hard_K30"": 0.04780643666496201, ""smallest_K50"": 0.02014168679560449, ""random_K50"": 0.025698299236187203, ""hard_K50"": 0.04161981138487314}"
PriceValidation.npz,ok,5807,3,0.0053,1.0,0.0,0.25385087621386315,0.0,KNN,0.05029289357460724,"{""CBLOF"": 4.154933025310389, ""COPOD"": 2.8496608398250403, ""ECOD"": 3.1080658495595688, ""HBOS"": 3.9260685520133034, ""IForest"": 7.184175854460735, ""KNN"": 8.184175854460737, ""LODA"": 3.1341996034822186, ""LOF"": 8.142768167006448}","{""IForest"": 0.8147393682330617, ""LOF"": 0.8898872642035942, ""KNN"": 0.9646444915727201, ""ECOD"": 0.6439892845183615, ""COPOD"": 0.7102076124567474, ""HBOS"": 0.493721397477397, ""CBLOF"": 0.7273133162183278, ""LODA"": 0.44184618819064625}","{""smallest_K30"": 0.02208153968159179, ""random_K30"": 0.02895602693150365, ""hard_K30"": 0.05029289357460724, ""smallest_K50"": 0.011660598498721341, ""random_K50"": 0.029474589911849692, ""hard_K50"": 0.04074044146770961}"
PriceValidation.npz,ok,5807,3,0.0053,2.0,0.0,0.25957138073445707,0.0,KNN,0.05338824571267358,"{""CBLOF"": 4.304662924526908, ""COPOD"": 3.653385485754221, ""ECOD"": 2.713901153583569, ""HBOS"": 4.009403388276867, ""IForest"": 7.11093323949129, ""KNN"": 8.435551979202682, ""LODA"": 3.253388204151148, ""LOF"": 8.250638041354348}","{""IForest"": 0.8139580310302488, ""LOF"": 0.8594430181939948, ""KNN"": 0.9658164973769394, ""ECOD"": 0.6328831342783793, ""COPOD"": 0.707863600848309, ""HBOS"": 0.49115414666815493, ""CBLOF"": 0.7357405960486662, ""LODA"": 0.4431019086951668}","{""smallest_K30"": 0.024851708526941355, ""random_K30"": 0.04256081672334173, ""hard_K30"": 0.05338824571267358, ""smallest_K50"": 0.01853691717026344, ""random_K50"": 0.02149766770492252, ""hard_K50"": 0.0364991679950054}"
EmployeeAttrition.npz,filtered,51350,11,0.0013,,,,,,,,,
GeneticVariation.npz,ok,6016,6,0.2394,0.0,0.1640609837457544,0.054927615707046185,0.0,LOF,0.037613921545848375,"{""CBLOF"": 6.9240523463610595, ""COPOD"": 2.4588973034208554, ""ECOD"": 2.706898969979055, ""HBOS"": 6.010962018353015, ""IForest"": 4.794434286996352, ""KNN"": 8.046977762974954, ""LODA"": 1.4114846372144367, ""LOF"": 8.953022237025046, ""PCA"": 3.6932704376752246}","{""IForest"": 0.7223257065744784, ""LOF"": 0.5809649442018437, ""KNN"": 0.6924464004124212, ""ECOD"": 0.7152997634643377, ""COPOD"": 0.7155635917030568, ""HBOS"": 0.6547257854196992, ""PCA"": 0.7450259279475981, ""CBLOF"": 0.6848200206210578, ""LODA"": 0.6997126698204755}","{""smallest_K30"": 0.002356351590844615, ""random_K30"": 0.023139905403817995, ""hard_K30"": 0.037613921545848375, ""smallest_K50"": 0.0037907447794981197, ""random_K50"": 0.028548303618938745, ""hard_K50"": 0.03540196692526224}"
GeneticVariation.npz,ok,6016,6,0.2394,1.0,0.1633350770257156,0.05945843610167656,0.0,LOF,0.03621794008876551,"{""CBLOF"": 6.865355509167423, ""COPOD"": 2.260952111889945, ""ECOD"": 2.562791636254285, ""HBOS"": 5.2682435060583, ""IForest"": 5.014003669661935, ""KNN"": 8.084695860034175, ""LODA"": 1.4303438319582937, ""LOF"": 8.81540687836902, ""PCA"": 4.6982069966066256}","{""IForest"": 0.7233544850800582, ""LOF"": 0.5853552583697235, ""KNN"": 0.6942230713245997, ""ECOD"": 0.7174945414847163, ""COPOD"": 0.7162333970160117, ""HBOS"": 0.6468461911693353, ""PCA"": 0.748690335395439, ""CBLOF"": 0.6739435498544396, ""LODA"": 0.696946263949539}","{""smallest_K30"": 0.006680079989525828, ""random_K30"": 0.023572335061648943, ""hard_K30"": 0.03621794008876551, ""smallest_K50"": 0.0046470597291480495, ""random_K50"": 0.027461522634486223, ""hard_K50"": 0.035160063601124274}"
GeneticVariation.npz,ok,6016,6,0.2394,2.0,0.16225777838427946,0.058015804423419026,0.0,LOF,0.03572973226199755,"{""CBLOF"": 6.972355974673406, ""COPOD"": 1.9072677320449696, ""ECOD"": 2.9116790008778834, ""HBOS"": 5.041073769491887, ""IForest"": 5.4271679726611355, ""KNN"": 8.0, ""LODA"": 1.8833716190502983, ""LOF"": 9.000000000000002, ""PCA"": 3.8570839312004237}","{""IForest"": 0.7282887554585153, ""LOF"": 0.5831665453663271, ""KNN"": 0.6854458545608928, ""ECOD"": 0.7110398471615722, ""COPOD"": 0.7093071476225135, ""HBOS"": 0.643217415696264, ""PCA"": 0.7454243237506065, ""CBLOF"": 0.6803466915332363, ""LODA"": 0.7004400927947597}","{""smallest_K30"": 0.0032486211914067335, ""random_K30"": 0.014081122461984048, ""hard_K30"": 0.03483593994293438, ""smallest_K50"": 0.009167472424611951, ""random_K50"": 0.02045332554723745, ""hard_K50"": 0.03572973226199755}"
