dataset,status,n,d,rate,seed,regret,random_regret,best_regret_possible,pick,max_regime_var,score_json,true_auc_json,regime_var_json
VotingRecall.npz,ok,1515,3,0.2706,0.0,0.08687782805429867,0.09460937595801289,0.0,KNN,0.060825117051835846,"{""CBLOF"": 6.740916507087748, ""COPOD"": 3.191565664503639, ""ECOD"": 2.6323102721717753, ""HBOS"": 5.464263605903815, ""IForest"": 6.7466838158611075, ""KNN"": 8.423027101621704, ""LODA"": 2.83799618590115, ""LOF"": 6.922807879185693, ""PCA"": 2.040428967763357}","{""IForest"": 0.9390519810175479, ""LOF"": 0.8588897472685134, ""KNN"": 0.8792351837545525, ""ECOD"": 0.9265643968656881, ""COPOD"": 0.9073667365632933, ""HBOS"": 0.9661130118088511, ""PCA"": 0.9577805981679727, ""CBLOF"": 0.8224644079019977, ""LODA"": 0.586066659309127}","{""smallest_K30"": 0.011782728693063021, ""random_K30"": 0.020918437210099, ""hard_K30"": 0.060825117051835846, ""smallest_K50"": 0.010111677333839539, ""random_K50"": 0.019037889336133085, ""hard_K50"": 0.018802433930849502}"
VotingRecall.npz,ok,1515,3,0.2706,1.0,0.060826619578412844,0.08467363180419119,0.0,KNN,0.04441444772107106,"{""CBLOF"": 6.659900636462725, ""COPOD"": 3.847763308901493, ""ECOD"": 2.655491357003114, ""HBOS"": 5.084018134274394, ""IForest"": 6.881631309697862, ""KNN"": 8.231224369440326, ""LODA"": 2.5653413641138685, ""LOF"": 6.936287880504976, ""PCA"": 2.138341639601249}","{""IForest"": 0.9607769561858515, ""LOF"": 0.8847036750910497, ""KNN"": 0.9080675422138837, ""ECOD"": 0.9462697274031564, ""COPOD"": 0.9370047456130669, ""HBOS"": 0.9688941617922966, ""PCA"": 0.9671228341242688, ""CBLOF"": 0.8515395651694073, ""LODA"": 0.5336055622999669}","{""smallest_K30"": 0.011995301615467014, ""random_K30"": 0.02256358005796391, ""hard_K30"": 0.04441444772107106, ""smallest_K50"": 0.011289051430673361, ""random_K50"": 0.01910442127533777, ""hard_K50"": 0.0338312248512275}"
VotingRecall.npz,ok,1515,3,0.2706,2.0,0.08325240039730697,0.09312070043777343,0.0,KNN,0.03922868062338466,"{""CBLOF"": 6.408253965849372, ""COPOD"": 3.098840492822995, ""ECOD"": 2.5874874826159364, ""HBOS"": 5.217645318473284, ""IForest"": 6.9768384929125045, ""KNN"": 8.342381380911974, ""LODA"": 1.8956197536073842, ""LOF"": 7.178861865054068, ""PCA"": 3.294071247752486}","{""IForest"": 0.9459386381194128, ""LOF"": 0.8696887760732811, ""KNN"": 0.8843670676525771, ""ECOD"": 0.9350623551484384, ""COPOD"": 0.9202185189272708, ""HBOS"": 0.9676194680498841, ""PCA"": 0.963083544862598, ""CBLOF"": 0.8435272045028144, ""LODA"": 0.5409833351727182}","{""smallest_K30"": 0.014681803363052325, ""random_K30"": 0.02044416619093251, ""hard_K30"": 0.03922868062338466, ""smallest_K50"": 0.006740240383415124, ""random_K50"": 0.027172003754895098, ""hard_K50"": 0.02664805323330254}"
ElectronicTesting.npz,filtered,75387,12,0.2741,,,,,,,,,
BaseballBattedBall.npz,ok,1787,8,0.0532,0.0,0.01617761217202285,0.17845917645638187,0.0,IForest,0.005797399035898361,"{""CBLOF"": 3.41505080256457, ""COPOD"": 4.080430973400901, ""ECOD"": 3.4285106156063865, ""HBOS"": 7.567345700551504, ""IForest"": 8.732071650064762, ""KNN"": 4.098042982158175, ""LODA"": 4.7844895408490276, ""LOF"": 3.159210883287555, ""PCA"": 5.734846851517113}","{""IForest"": 0.792640894271076, ""LOF"": 0.5828442788386896, ""KNN"": 0.49669306008383785, ""ECOD"": 0.7669306008383792, ""COPOD"": 0.7650054339388294, ""HBOS"": 0.3719919267194535, ""PCA"": 0.8088185064430988, ""CBLOF"": 0.47489520260829055, ""LODA"": 0.6134140661387983}","{""smallest_K30"": 0.005797399035898361, ""random_K30"": 0.0017420890680650218, ""hard_K30"": 0.0018775796405992489, ""smallest_K50"": 0.0028951678217818506, ""random_K50"": 0.0016665303446863468, ""hard_K50"": 0.0025512913167842796}"
BaseballBattedBall.npz,ok,1787,8,0.0532,1.0,0.04924701133364384,0.17586641135779468,0.0,IForest,0.007229725591233655,"{""CBLOF"": 4.178709633980991, ""COPOD"": 5.662746683613358, ""ECOD"": 4.351724534151449, ""HBOS"": 3.1382006352679723, ""IForest"": 8.812406044862003, ""KNN"": 4.328546090791975, ""LODA"": 5.651086019154926, ""LOF"": 2.4715584828142423, ""PCA"": 6.405021875363083}","{""IForest"": 0.7414066138798324, ""LOF"": 0.552491849091756, ""KNN"": 0.5108213010402112, ""ECOD"": 0.7484862598975315, ""COPOD"": 0.7508461419034311, ""HBOS"": 0.3460332246545567, ""PCA"": 0.7906536252134763, ""CBLOF"": 0.5069709672411117, ""LODA"": 0.5853749417792268}","{""smallest_K30"": 0.007229725591233655, ""random_K30"": 0.0006322009546593165, ""hard_K30"": 0.0016358500365815593, ""smallest_K50"": 0.006278914996520607, ""random_K50"": 0.0004781726562144768, ""hard_K50"": 0.0017398494810223668}"
BaseballBattedBall.npz,ok,1787,8,0.0532,2.0,0.47914920043471504,0.1941037451051424,0.0,HBOS,0.004961024226654731,"{""CBLOF"": 5.5343324460567205, ""COPOD"": 2.6457953582563443, ""ECOD"": 1.869944781994173, ""HBOS"": 7.833238601646446, ""IForest"": 6.914575047640564, ""KNN"": 7.444462260822328, ""LODA"": 4.755025849634353, ""LOF"": 4.035441681296749, ""PCA"": 3.967183972652323}","{""IForest"": 0.7616829684831548, ""LOF"": 0.5447601304145319, ""KNN"": 0.4941468716037882, ""ECOD"": 0.7635460332246546, ""COPOD"": 0.7632044713553797, ""HBOS"": 0.3252600527868344, ""PCA"": 0.8044092532215494, ""CBLOF"": 0.5013196708585623, ""LODA"": 0.5344201210992082}","{""smallest_K30"": 0.0025099333141288963, ""random_K30"": 0.001067059622778131, ""hard_K30"": 0.000877449604448726, ""smallest_K50"": 0.0024075943812668713, ""random_K50"": 0.0012352113185416784, ""hard_K50"": 0.004961024226654731}"
AndroidIntentMalware.npz,ok,1594,3,0.2553,0.0,0.20806061982532564,0.1599649687884982,0.0,LOF,0.046704825903636366,"{""CBLOF"": 6.590030354023099, ""COPOD"": 3.5951207694464262, ""ECOD"": 4.110834145227721, ""HBOS"": 1.7460717226838913, ""IForest"": 6.160128918333153, ""KNN"": 7.979252663440721, ""LODA"": 4.502391139851045, ""LOF"": 8.926947977576324, ""PCA"": 1.3892223094176221}","{""IForest"": 0.5493207110854169, ""LOF"": 0.5152633534986476, ""KNN"": 0.5061373443726385, ""ECOD"": 0.5208587120351826, ""COPOD"": 0.5210548592901534, ""HBOS"": 0.6339221192162369, ""PCA"": 0.7233239733239732, ""CBLOF"": 0.5293653087770734, ""LODA"": 0.5709846592199533}","{""smallest_K30"": 0.002704736283926287, ""random_K30"": 0.020178652802691502, ""hard_K30"": 0.046704825903636366, ""smallest_K50"": 0.004761730622602624, ""random_K50"": 0.017502572677199988, ""hard_K50"": 0.03851295181249928}"
AndroidIntentMalware.npz,ok,1594,3,0.2553,1.0,0.19698862345921164,0.17013193483781708,0.0,LOF,0.03853945755889523,"{""CBLOF"": 6.413999847890059, ""COPOD"": 4.428020419211779, ""ECOD"": 4.760248964551478, ""HBOS"": 1.8733494316961523, ""IForest"": 6.217010634984793, ""KNN"": 7.995280050479061, ""LODA"": 3.1807201333618913, ""LOF"": 8.820225190958364, ""PCA"": 1.3111453268664215}","{""IForest"": 0.5414696591167178, ""LOF"": 0.5263611587140999, ""KNN"": 0.5170648111824583, ""ECOD"": 0.5072987425928602, ""COPOD"": 0.5066380360498007, ""HBOS"": 0.6170224846695436, ""PCA"": 0.7233497821733116, ""CBLOF"": 0.4958189664072017, ""LODA"": 0.5439369851134557}","{""smallest_K30"": 0.005503134847216577, ""random_K30"": 0.022962250850675183, ""hard_K30"": 0.03853945755889523, ""smallest_K50"": 0.00609665207391687, ""random_K50"": 0.025119369503235664, ""hard_K50"": 0.027525655137783264}"
AndroidIntentMalware.npz,ok,1594,3,0.2553,2.0,0.23450436685730813,0.19695421166009397,0.0,LOF,0.04263655331191701,"{""CBLOF"": 6.612235549393313, ""COPOD"": 4.563204277244531, ""ECOD"": 4.67410121279961, ""HBOS"": 2.081967290910358, ""IForest"": 5.921841472096648, ""KNN"": 7.820413783682883, ""LODA"": 3.26313094218305, ""LOF"": 8.88351925537249, ""PCA"": 1.179586216317116}","{""IForest"": 0.530485412838354, ""LOF"": 0.509172465054818, ""KNN"": 0.5233002291825821, ""ECOD"": 0.4855780149897797, ""COPOD"": 0.48622839799310386, ""HBOS"": 0.6044535750418103, ""PCA"": 0.7436768319121261, ""CBLOF"": 0.4997935292052939, ""LODA"": 0.5378151260504201}","{""smallest_K30"": 0.0061083393304753415, ""random_K30"": 0.010493986293245987, ""hard_K30"": 0.03002280346324155, ""smallest_K50"": 0.007221876600767423, ""random_K50"": 0.017957810463357565, ""hard_K50"": 0.04263655331191701}"
