dataset,30|composite_top_quartile|0|borda,30|composite_top_quartile|0|mean,30|composite_top_quartile|0|varweight,30|random|0|borda,30|random|0|mean,30|random|0|varweight,30|smallest|0|borda,30|smallest|0|mean,30|smallest|0|varweight,50|composite_top_quartile|0|borda,50|composite_top_quartile|0|mean,50|composite_top_quartile|0|varweight,50|random|0|borda,50|random|0|mean,50|random|0|varweight,50|smallest|0|borda,50|smallest|0|mean,50|smallest|0|varweight
14_glass,0.04242424242424241,0.05454545454545454,-0.006060606060606061,0.4666666666666666,0.4787878787878787,0.406060606060606,0.6443798763008685,0.7333333333333332,0.7333333333333332,0.0790277206784084,0.05454545454545454,0.04242424242424241,0.5030303030303029,0.4787878787878787,0.406060606060606,0.7333333333333332,0.7333333333333332,0.7333333333333332
18_Ionosphere,0.9300954818304988,0.9151515151515152,0.9393939393939393,0.7598819296000807,0.7939393939393938,0.6969696969696969,0.6484848484848483,0.6363636363636362,0.6363636363636362,0.9151515151515152,0.9151515151515152,0.9393939393939393,0.7939393939393938,0.8181818181818182,0.6969696969696969,0.6484848484848483,0.6363636363636362,0.6363636363636362
19_landsat,0.38181818181818183,0.38181818181818183,0.4545454545454545,0.7939393939393938,0.8060606060606059,0.7939393939393938,0.7212121212121211,0.7333333333333332,0.709090909090909,0.6606060606060605,0.6848484848484848,0.6363636363636362,0.9393939393939393,0.9393939393939393,0.9393939393939393,0.7454545454545454,0.7454545454545454,0.7454545454545454
20_letter,0.8870370532810664,0.9,0.9,0.6666666666666667,0.5333333333333333,0.39999999999999997,0.49372817116587664,0.45,0.38333333333333336,0.8870370532810664,0.9,0.8833333333333333,0.6806963035209745,0.7,0.8666666666666667,0.5333333333333333,0.5,0.48333333333333334
22_magic.gamma,0.6363636363636362,0.6242424242424242,0.6242424242424242,0.9272727272727272,0.9030303030303028,0.9030303030303028,0.9757575757575757,0.9515151515151514,0.9151515151515152,0.6606060606060605,0.6606060606060605,0.5757575757575757,0.9300954818304988,0.9393939393939393,0.9393939393939393,0.960490759014502,0.8909090909090909,0.8666666666666665
23_mammography,-0.10303030303030303,0.04242424242424241,0.006060606060606061,-0.1515151515151515,-0.06666666666666665,-0.34545454545454546,-0.11515151515151514,-0.11515151515151514,-0.11515151515151514,0.12727272727272726,0.12727272727272726,0.12727272727272726,0.18787878787878787,0.0303030303030303,-0.07878787878787878,-0.04255338805760452,-0.006060606060606061,-0.12727272727272726
25_musk,0.7693447387639306,0.6917637567037024,0.7176240840571118,0.4719509741997222,0.49781130155313164,0.5753922836133598,0.6271129383201788,0.6271129383201788,0.6141827746434741,0.7176240840571118,0.7176240840571118,0.7176240840571118,0.49781130155313164,0.49781130155313164,0.49781130155313164,0.6788335930269976,0.7176240840571118,0.7176240840571118
26_optdigits,-0.6333333333333333,-0.6333333333333333,-0.6833333333333333,0.8166666666666667,0.8166666666666667,0.8499999999999999,0.8499999999999999,0.8833333333333333,0.9333333333333332,0.049999999999999996,0.08333333333333334,0.13333333333333333,0.8666666666666667,0.8499999999999999,0.7999999999999999,0.6166666666666666,0.7,0.7
27_PageBlocks,0.6,0.6,0.6,0.6,0.4545454545454545,0.0303030303030303,0.8303030303030302,0.7818181818181817,0.8424242424242423,0.4666666666666666,0.5151515151515151,0.6363636363636362,-0.024316221747202584,-0.16363636363636364,-0.04242424242424241,0.13981827504641486,-0.006060606060606061,-0.07878787878787878
28_pendigits,0.7454545454545454,0.7696969696969697,0.7333333333333332,0.8666666666666665,0.8787878787878788,0.9151515151515152,0.8666666666666665,0.8666666666666665,0.9272727272727272,0.8328305948416885,0.7818181818181817,0.8060606060606059,0.7696969696969697,0.7818181818181817,0.8545454545454544,0.8267515394048879,0.8181818181818182,0.8303030303030302
29_Pima,0.7939393939393938,0.8545454545454544,0.9030303030303028,0.5151515151515151,0.406060606060606,0.38181818181818183,0.6363636363636362,0.8060606060606059,0.8060606060606059,0.04242424242424241,0.06666666666666665,0.10303030303030303,0.406060606060606,0.4545454545454545,0.5151515151515151,0.406060606060606,0.3696969696969697,0.6484848484848483
30_satellite,0.709090909090909,0.6969696969696969,0.6606060606060605,0.8303030303030302,0.8424242424242423,0.8787878787878788,0.6727272727272726,0.7333333333333332,0.7212121212121211,0.7818181818181817,0.6848484848484848,0.6848484848484848,0.7454545454545454,0.7818181818181817,0.8545454545454544,0.8060606060606059,0.8060606060606059,0.8060606060606059
31_satimage-2,0.9393939393939393,0.9393939393939393,0.9393939393939393,0.7477238187264795,0.7212121212121211,0.7454545454545454,0.8909090909090909,0.8909090909090909,0.8909090909090909,0.9393939393939393,0.9393939393939393,0.9393939393939393,0.2606060606060606,0.4666666666666666,0.6363636363636362,0.9030303030303028,0.9030303030303028,0.9030303030303028
32_shuttle,0.8545454545454544,0.8545454545454544,0.8424242424242423,0.56535215562246,0.6363636363636362,0.5878787878787878,0.5757575757575757,0.6363636363636362,0.6242424242424242,0.6363636363636362,0.6,0.6,0.4863244349440517,0.3696969696969697,0.6363636363636362,0.6930123197952736,0.5878787878787878,0.5878787878787878
35_SpamBase,0.6504589317376691,0.7212121212121211,0.7212121212121211,0.41818181818181815,0.6727272727272726,0.6969696969696969,0.34545454545454546,0.406060606060606,0.34545454545454546,0.3696969696969697,0.3696969696969697,0.3696969696969697,0.35757575757575755,0.10303030303030303,-0.1515151515151515,0.3939393939393939,0.38181818181818183,0.4787878787878787
36_speech,0.07878787878787878,0.06666666666666665,0.09090909090909088,0.33434804902403553,0.0303030303030303,0.41818181818181815,0.309090909090909,0.2121212121212121,0.29696969696969694,0.12727272727272726,0.12727272727272726,0.17575757575757575,0.2606060606060606,0.34545454545454546,0.19999999999999998,0.05454545454545454,0.10303030303030303,0.19999999999999998
37_Stamps,0.42553388057604524,0.4666666666666666,0.5515151515151515,0.309090909090909,0.07878787878787878,0.17575757575757575,0.5030303030303029,0.5030303030303029,0.5272727272727272,0.41818181818181815,0.4666666666666666,0.4545454545454545,0.2727272727272727,0.16363636363636364,0.33333333333333326,0.49090909090909085,0.5030303030303029,0.5272727272727272
38_thyroid,0.04242424242424241,0.17575757575757575,0.1515151515151515,0.35258521533443743,0.43030303030303024,0.2727272727272727,0.5878787878787878,0.5636363636363636,0.35757575757575755,0.22424242424242422,0.2727272727272727,0.38181818181818183,0.35757575757575755,0.33333333333333326,-0.0303030303030303,0.5835893219328621,0.5636363636363636,0.4666666666666666
39_vertebral,-0.6121212121212121,-0.5151515151515151,-0.43030303030303024,0.18787878787878787,0.35757575757575755,0.5515151515151515,-0.19999999999999998,-0.19999999999999998,-0.2727272727272727,-0.5151515151515151,-0.4545454545454545,-0.5151515151515151,0.18787878787878787,0.35757575757575755,0.5515151515151515,-0.19999999999999998,-0.19999999999999998,-0.2727272727272727
40_vowels,0.9636363636363635,0.9999999999999999,0.9878787878787878,0.9272727272727272,0.8909090909090909,0.9151515151515152,0.9878787878787878,0.9878787878787878,0.9878787878787878,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.7212121212121211,0.8181818181818182,0.9636363636363635,0.9151515151515152,0.9151515151515152,0.9757575757575757
41_Waveform,0.6694619270045785,0.5666666666666667,0.5666666666666667,0.25,0.35,0.0,0.6694619270045785,0.5666666666666667,0.6666666666666667,0.8499999999999999,0.9166666666666666,0.8166666666666667,0.7999999999999999,0.7833333333333333,0.6333333333333333,0.8499999999999999,0.7999999999999999,0.7
42_WBC,-0.047940707594411956,-0.05462309935991352,-0.05462309935991352,-0.19800873517968648,-0.19800873517968648,-0.13655774839978377,-0.16386929807974054,-0.16386929807974054,-0.16386929807974054,-0.040967324519935136,-0.040967324519935136,-0.040967324519935136,-0.19800873517968648,-0.19800873517968648,-0.21166451001966485,-0.16386929807974054,-0.16386929807974054,-0.11607408613981622
43_WDBC,-0.8210653934707497,-0.8210653934707497,-0.8210653934707497,-0.35017717490828154,-0.3943699921394939,-0.7176240840571118,-0.7846562622944825,-0.8598558845008637,-0.8598558845008637,-0.8210653934707497,-0.8210653934707497,-0.8210653934707497,-0.2918143124235679,-0.3167890100792656,-0.6788335930269976,-0.7822749024406354,-0.7822749024406354,-0.8598558845008637
44_Wilt,0.6,0.6,0.6242424242424242,0.6969696969696969,0.7333333333333332,0.709090909090909,0.7818181818181817,0.7696969696969697,0.7575757575757575,0.406060606060606,0.5151515151515151,0.5636363636363636,0.7696969696969697,0.8787878787878788,0.8909090909090909,0.5151515151515151,0.6,0.6242424242424242
47_yeast,0.5878787878787878,0.5636363636363636,0.6242424242424242,0.7112494861056756,0.7818181818181817,0.8060606060606059,0.2727272727272727,0.2121212121212121,0.13939393939393938,0.07878787878787878,0.18787878787878787,0.19999999999999998,0.6969696969696969,0.7333333333333332,0.7333333333333332,0.2006088294144213,0.3696969696969697,0.3696969696969697
6_cardio,0.24848484848484845,0.24848484848484845,0.309090909090909,-0.19999999999999998,-0.05454545454545454,0.06666666666666665,0.22424242424242422,0.22424242424242422,0.309090909090909,0.13373921960961418,0.2121212121212121,0.2121212121212121,0.28484848484848485,0.22424242424242422,0.13939393939393938,0.3465061598976368,0.35757575757575755,0.38181818181818183
