dataset,src,method,regret1,std
Annthyroid,dami,pca,0.09270372799731952,0.004686046563564776
Annthyroid,dami,vade,0.11341277345698471,0.02941416442857701
WDBC,dami,pca,0.06388888888888888,0.010393492741038778
WDBC,dami,vade,0.06620370370370376,0.007378415486346836
Cardiotocography,dami,pca,0.00870507651623531,0.009869451467397934
