modality,seed,dataset,r1_ens_smallest_rand,r3_ens_smallest_rand,r1_uniform_bank,r3_uniform_bank,r1_discriminative,r3_discriminative,r1_stability,r3_stability,r1_disc_x_stab,r3_disc_x_stab,r1_margin,r3_margin,r1_softmax_var_T0.001,r3_softmax_var_T0.001,r1_softmax_var_T0.0003,r3_softmax_var_T0.0003,r1_agreement,r3_agreement,r1_disc_agree,r3_disc_agree,r1_best_regime_var,r3_best_regime_var,r1_best_regime_agr,r3_best_regime_agr,r1_zscore_disc,r3_zscore_disc,r1_zscore_uniform,r3_zscore_uniform,r1_top1_vote,r3_top1_vote,r1_ORACLE_best_regime,r3_ORACLE_best_regime
tabular,0,14_glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,0,18_Ionosphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023104056437389886,0.0,0.023104056437389886,0.0,0.023104056437389886,0.0,0.023104056437389886,0.0,0.023104056437389886,0.0,0.023104056437389886,0.0,0.023104056437389886,0.0,0.0,0.0,0.0,0.0,0.023104056437389886,0.0,0.023104056437389886,0.023104056437389886
tabular,0,19_landsat,0.001127118214421352,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.0,0.0,0.0,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.0,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.001127118214421352,0.0,0.0,0.0
tabular,0,20_letter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,0,22_magic.gamma,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.0,0.009781629470736242,0.009781629470736242
tabular,0,23_mammography,0.04940151381798985,0.03118289033620847,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.03118289033620847,0.04940151381798985,0.03118289033620847,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.03118289033620847,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.020957577891216328,0.04940151381798985,0.04940151381798985
tabular,0,25_musk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tabular,0,26_optdigits,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0017422748191977533,0.0,0.0,0.0
tabular,0,27_PageBlocks,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.0032392076584982776,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.00467718305336462,0.007216970718686544,0.0,0.0,0.0
tabular,0,28_pendigits,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.005207438379441376,0.0,0.0,0.0
