dataset,config,regret,effK
WDBC,kmeans,0.06388888888888888,
WDBC,vade_default,0.06296296296296296,15.333333333333334
WDBC,vade_joint150,0.0564814814814815,15.333333333333334
Annthyroid,kmeans,0.0927129564163068,
WDBC,vade_protectclust,0.04351851851851851,8.666666666666666
WDBC,vade_pre100j150,0.06620370370370376,14.666666666666666
WDBC,vade_boostclust,0.03287037037037036,5.0
WDBC,vade_latent16,0.06620370370370376,14.333333333333334
Annthyroid,vade_latent16,0.24184184098913517,4.666666666666667
Annthyroid,vade_protectclust,0.0927129564163068,10.166666666666666
Cardiotocography,kmeans,0.02203797632982178,
Cardiotocography,vade_default,0.03392292018901455,30.5
Annthyroid,vade_default,0.11342933728593622,17.333333333333332
Annthyroid,vade_joint150,0.11342933728593622,17.333333333333332
Annthyroid,vade_boostclust,0.1289794599055957,8.166666666666666
Cardiotocography,vade_joint150,0.04545021025707715,25.833333333333332
Cardiotocography,vade_protectclust,0.02802921923093597,6.333333333333333
Cardiotocography,vade_boostclust,0.032771925261195656,2.8333333333333335
Cardiotocography,vade_latent16,0.042734209043221894,14.666666666666666
Cardiotocography,vade_pre100j150,0.03392292018901455,27.5
PageBlocks,kmeans,0.007708672005137696,
Annthyroid,vade_pre100j150,0.12857104320887755,18.166666666666668
PageBlocks,vade_latent16,0.056548992848589386,3.8333333333333335
PageBlocks,vade_protectclust,0.0,3.1666666666666665
PageBlocks,vade_default,0.012808985757387203,4.166666666666667
PageBlocks,vade_boostclust,0.03459436316321133,1.8333333333333333
PageBlocks,vade_joint150,0.012808985757387203,4.166666666666667
PageBlocks,vade_pre100j150,0.032667027916591374,3.5
