dataset,bench,seed,status,regret_cluster,regret_aug,max_regime_var,random_regret
PageBlocks,dami,0,ok,0.0039215686274508554,0.0039215686274508554,0.28610876789199663,0.03379537644695085
PageBlocks,dami,1,ok,0.0057820057398598745,0.0057820057398598745,0.2854039002772703,0.03365466737132705
PageBlocks,dami,2,ok,0.013422441648102357,0.013422441648102357,0.31931386449017846,0.0424385038901266
Pima,dami,0,ok,0.07574626865671641,0.07574626865671641,0.22916217039733766,0.06463930348258706
Pima,dami,1,ok,0.061679104477611935,0.061679104477611935,0.3151659746606749,0.053167495854062996
Pima,dami,2,ok,0.06701492537313436,0.06701492537313436,0.22467692081821544,0.06308457711442783
Cardiotocography,dami,0,ok,0.0,0.0,0.3418004306618227,0.04321514501235535
Cardiotocography,dami,1,ok,0.03206528807387177,0.03206528807387177,0.33099093393995527,0.06444677461308368
Cardiotocography,dami,2,ok,0.0047210300429184615,0.0047210300429184615,0.36186788693719885,0.04814020028612298
Stamps,dami,0,ok,0.05046826222684708,0.05046826222684708,0.3059088924998916,0.029194126488611527
Stamps,dami,1,ok,0.031217481789802326,0.031217481789802326,0.27708838278210424,0.022603769221875347
Stamps,dami,2,ok,0.006243496357960399,0.006243496357960399,0.1823012365441158,0.015319690137588049
18_Ionosphere,adb,0,ok,0.0,0.0,0.2234080431928042,0.08969233784048602
18_Ionosphere,adb,1,ok,0.010582010582010692,0.010582010582010692,0.3035753656460588,0.07619047619047625
18_Ionosphere,adb,2,ok,0.0455026455026456,0.002821869488536244,0.19262605676569164,0.0965118557711151
Waveform,dami,0,ok,0.046816143497757756,0.046816143497757756,0.3946691419460402,0.05874605547251288
Waveform,dami,1,ok,0.0,0.0,0.49548425171333765,0.05331174223550916
Waveform,dami,2,ok,0.0,0.0,0.4528681359718775,0.053658860654376306
6_cardio,adb,0,ok,0.009990387256248234,0.009990387256248234,0.2925584128235968,0.03648980362537757
6_cardio,adb,1,ok,0.035652979950563046,0.035652979950563046,0.2673033093426295,0.04283464364185663
6_cardio,adb,2,ok,0.024649821477615963,0.024649821477615963,0.2704785674189675,0.04468972199334742
